,h_w,tacs_eig,CF_eig,rel_err
0,0.001,8.605237264269148,8.85631560610526,0.02835020261281424
0,0.0010985411419875584,8.611337563840047,8.835417837067459,0.02536159323301286
0,0.0012067926406393288,8.620102204162366,8.813958001322751,0.021994182083837032
0,0.0013257113655901094,8.632169044428174,8.792323379534023,0.01821524620882826
0,0.0014563484775012444,8.648312162787906,8.771069722846203,0.013995734150709947
0,0.0015998587196060573,8.66948160839268,8.750975507054898,0.009312550194720505
0,0.0017575106248547913,8.696854745525085,8.733112021796906,0.0041517017280124505
0,0.0019306977288832496,8.731231220807837,8.718933596243977,-0.001410450535964409
0,0.0021209508879201904,8.77650116498856,8.710393325731326,-0.007589535487673601
0,0.002329951810515372,8.813982750546236,8.710090948629766,-0.011927751676670366
0,0.002559547922699536,8.904353322790163,8.721461059822895,-0.020970369725067856
0,0.002811768697974231,8.994484019550354,8.749011664143868,-0.02805715260530591
0,0.0030888435964774815,9.108298227227042,8.798625191897319,-0.03519561619864227
0,0.00339322177189533,9.25203358376886,8.8779365304341,-0.04213783822990088
0,0.003727593720314938,9.433482777095698,8.99680536558012,-0.0485369410331154
0,0.004094915062380423,9.662191924647713,9.167903146190337,-0.053915139653583105
0,0.004498432668969444,9.949567893645755,9.407438225043858,-0.057627768116369334
0,0.004941713361323833,10.308832666292265,9.73604609248781,-0.05883153883653129
0,0.005428675439323859,10.754757866026166,10.179874964902982,-0.05647249137196673
0,0.005963623316594642,11.303096207458367,10.771900132480877,-0.04931312660203346
0,0.006551285568595509,11.757829456103018,11.553503185132834,-0.017685222195906115
0,0.0071968567300115215,12.319823112941618,12.119137266257034,-0.016559416918508516
0,0.0079060432109077,13.025033256258448,12.591221350469915,-0.03445352072794291
0,0.00868511373751352,13.89862759028713,13.227486118243899,-0.05073839927282671
0,0.009540954763499945,14.966742540284208,14.071236065243514,-0.06364092471255094
0,0.010481131341546858,16.25536528524765,15.17545082335873,-0.07116193610714129
0,0.01151395399326447,17.788883220913867,16.604556705779576,-0.07132539194629994
0,0.012648552168552958,19.588289387711416,18.43642971270998,-0.06247737186378065
0,0.013894954943731374,21.668982942587267,20.764644699095115,-0.043551828437091496
0,0.015264179671752334,24.037891738764536,23.700988205014756,-0.014214746272836691
0,0.016768329368110076,26.688818001005316,27.378259043963507,0.025182062959193223
0,0.018420699693267154,29.105363953983748,30.93752998600247,0.05922147090758949
0,0.020235896477251564,31.7248356111734,31.542822882867494,-0.005770337327822579
0,0.022229964825261943,34.13369070796489,32.45635375116241,-0.0516797718456715
0,0.02442053094548651,33.74951992625596,33.7444556028261,-0.0001500786822423074
0,0.026826957952797246,32.78114836197987,35.484065491461074,0.07617270152236756
0,0.029470517025518096,31.346595431896898,36.48083914400171,0.14073809245007465
0,0.032374575428176434,29.48178141080581,36.48083914400171,0.19185572200157874
0,0.03556480306223128,26.73262036003416,36.48083914400171,0.2672147629468765
0,0.03906939937054615,23.75110233960568,36.48083914400171,0.34894309185563493
0,0.04291934260128776,20.974076888980587,36.48083914400171,0.4250659419815126
0,0.04714866363457392,18.588211982513336,36.48083914400171,0.4904664361162409
0,0.0517947467923121,16.607169359174478,36.48083914400171,0.5447700834506413
0,0.05689866029018296,14.28679695658315,36.48083914400171,0.6083753199813051
0,0.0625055192527397,12.03926965585519,36.48083914400171,0.6699837520641374
0,0.06866488450042998,10.260436741015896,36.48083914400171,0.7187444976110714
0,0.07543120063354615,8.86573009262261,36.48083914400171,0.7569757083265904
0,0.08286427728546843,7.806500323066888,36.48083914400171,0.786010944204104
0,0.09102981779915217,6.95951932229526,36.48083914400171,0.8092280910857401
0,0.1,6.301732344406554,36.48083914400171,0.8272591176005691
