,xi,lam
0,-0.7630657260398375,1.078675593662835
1,-0.7630657260398375,1.095025229827467
2,-0.7630657260398375,1.0852778720738288
3,-0.7630657260398375,1.0775058952455787
4,-0.7630657260398375,1.074940863243545
5,-0.7630657260398375,1.080038994117068
6,-0.7630657260398375,1.091987463607076
7,-0.7630657260398375,1.085912869776317
8,-0.7630657260398375,1.075761341147264
9,-0.7630657260398375,1.0759094022042817
10,-0.7630657260398375,1.0802667793949576
11,-0.7630657260398375,1.0842161981900311
12,-0.7630657260398375,1.082745698079324
13,-0.7630657260398375,1.0769805056492154
14,-0.7630657260398375,1.0816744487685226
15,-0.7630657260398375,1.0800501764532051
16,-0.7630657260398375,1.0890911709360191
17,-0.7630657260398375,1.0760492932002792
18,-0.7630657260398375,1.0775433075362502
19,-0.7630657260398375,1.082229006928104
20,-0.7630657260398375,1.03281643068301
21,-0.7630657260398375,1.076584263412689
22,-0.7630657260398375,1.0803938685186896
23,-0.7630657260398375,1.0789252350679297
24,-0.7630657260398375,1.078318595142969
25,-0.7630657260398375,1.0783526209522198
26,-0.7538690968385483,1.078417768838744
27,-0.7538690968385483,1.0850230343256326
28,-0.7538690968385483,1.0985052914486697
29,-0.7538690968385483,1.096830307662983
30,-0.7538690968385483,1.0849138245102004
31,-0.7538690968385483,1.0789858292512584
32,-0.7538690968385483,1.078831085368753
33,-0.7538690968385483,1.0834823698254332
34,-0.7538690968385483,1.092179861920638
35,-0.7538690968385483,1.088406705483526
36,-0.7538690968385483,1.0814619934489489
37,-0.7538690968385483,1.0786414818011345
38,-0.7538690968385483,1.079088522952744
39,-0.7538690968385483,1.0825829034690504
40,-0.7538690968385483,1.0888685358874577
41,-0.7538690968385483,1.0843897251936454
42,-0.7538690968385483,1.0539852747140162
43,-0.7538690968385483,1.0787144464403733
44,-0.7538690968385483,1.0793102298114332
45,-0.7538690968385483,1.0823614005287192
46,-0.7538690968385483,1.0870346410403462
47,-0.7538690968385483,1.0834627334808054
48,-0.7538690968385483,1.031174253712837
49,-0.7538690968385483,1.0786418400890356
50,-0.7896040373431812,1.073518524265333
51,-0.7896040373431812,1.0913626739093572
52,-0.7896040373431812,1.0804032967950807
