1 1 
aeromesh
body_mesh 1 wing 122 
2765 40.84967053422227 17.812561121642116 -2.1164066340699557 
2766 40.90062854487 17.858005171056256 -2.123310884030973 
2767 40.951577097497164 17.903440785864156 -2.1302138525342302 
2768 41.002513794553145 17.948865827944527 -2.137115214737992 
2769 41.05343603554275 17.994277978191278 -2.1440146183037596 
2770 41.104340780170844 18.03967452528737 -2.1509116513049826 
2771 41.155224507176676 18.08505232899352 -2.1578058366495605 
2772 41.20608348602218 18.130408062438157 -2.164696668890616 
2773 41.25691420338662 18.175738592462857 -2.1715836720118333 
2774 41.3077136466231 18.221041232407103 -2.1784664378326917 
2775 41.358479281126826 18.266313721925492 -2.185344622942121 
2776 41.4092088298102 18.311554030324906 -2.1922179188197966 
2777 41.45990010888221 18.356760210113574 -2.199086029586055 
2778 41.51055108149386 18.401930444841735 -2.205948679270263 
2779 41.56116008273547 18.447063249752873 -2.212805642295468 
2780 41.61172604415471 18.492157672007593 -2.2196567738981323 
2781 41.66224857772951 18.53721336557013 -2.226502021505533 
2782 41.71272789298174 18.582230517290835 -2.23334141350558 
2783 41.76316461561059 18.62720968516451 -2.2401750346736313 
2784 41.81355961673856 18.672151646052978 -2.2470030030372015 
2785 41.86391395412015 18.71705734325541 -2.253825461910395 
22204 41.5082201956953 18.313367326290965 -2.238079011009115 
22205 41.45607679073074 18.25873108723271 -2.2316644186816372 
22208 41.40326533404911 18.207699165367185 -2.2248115382994067 
22209 41.34959275955904 18.15950774828025 -2.2176083212316935 
22210 41.29265910952175 18.11370363813077 -2.2096168151602984 
22211 41.2339415758731 18.065064577686588 -2.201437754508832 
22212 41.16896392012826 18.020876996516044 -2.191436873969037 
22602 41.09191847056377 17.977382700525602 -2.1774431043397886 
22603 41.17411487357584 17.940934033438925 -2.1957629966351053 
22918 41.33517785236621 18.036892577637495 -2.2170640558831187 
22919 41.26535604183938 17.98060665381782 -2.2077777321774943 
23091 40.999703254091614 17.842898705542794 -2.1708039170483957 
23092 41.08094341132028 17.898710231196393 -2.18250582918835 
23228 41.82060955316171 18.58074592555791 -2.2809359140859606 
23272 41.22270421802122 17.851255714263843 -2.199928442782315 
23273 41.320299254979126 17.89054190484751 -2.2114105442291727 
23550 40.918339588589745 17.788567143721348 -2.1585315905215667 
23551 41.038945020103206 17.752593095757938 -2.176968454564893 
23646 40.8698696454284 17.710615433370407 -2.1541297125567533 
23647 41.127535845610915 17.801585862053948 -2.1881580009168147 
23961 40.9633300510412 17.71341879613124 -2.167283826491315 
25347 41.3457399747102 18.16791766680212 -2.124549481996916 
25348 41.283887424722415 18.12096038464358 -2.1193542963664203 
25350 41.55515536194999 18.353761062947946 -2.1527432301043157 
25402 41.874515835627186 18.661562267162232 -2.2055719865918966 
25411 41.81825319232291 18.59683437513416 -2.1918806709154546 
25438 41.762366202371695 18.540466622243496 -2.1817173227410533 
25439 41.70858608166101 18.490822624956326 -2.1737437480784187 
25445 40.84773840090938 17.716680723977497 -2.0539307030375085 
25626 40.898624871263415 17.764790383685362 -2.061905640318863 
25627 40.95181861119775 17.815830602196385 -2.070543531371257 
25628 41.00663030776302 17.873092554257532 -2.081329843759521 
25631 41.40166538384698 18.215277426993644 -2.1312094215949697 
25632 41.45335854698632 18.262722364978632 -2.138769585208042 
25633 41.5041578305388 18.308497548726933 -2.145874832782402 
25634 41.60570076380883 18.399119300518123 -2.1597403132112736 
25635 41.65724398573509 18.4441298499004 -2.166400996283449 
25840 41.66504071456326 18.340899458608828 -2.131879670587461 
25841 41.61478470417414 18.295401269533 -2.1248101390976406 
26028 40.86275210420388 17.607804378402555 -2.017032950482582 
26030 40.91422056562424 17.657769564899922 -2.025246598540533 
26031 40.96246735355149 17.705750750822645 -2.0332808020990973 
26032 41.01463369517673 17.759164100592034 -2.0424223091403544 
26034 41.26900665700539 18.014396963449393 -2.0856355863362492 
26035 41.21799083768721 18.072781758230644 -2.114787261753099 
26037 41.40415250596494 18.106988937811114 -2.095840195671563 
26038 41.33873252555428 18.060294887763625 -2.0903111622342196 
26039 41.45979925226918 18.154715094601293 -2.1028972925398497 
26040 41.51120045942964 18.20429295121905 -2.111016378695213 
26041 41.56164527683157 18.250080061433657 -2.11814821545553 
26123 41.06686313235773 17.817483054525688 -2.053015704149732 
26124 41.771691890221945 18.435578084031512 -2.146333429617951 
26125 41.71948997794181 18.38709682296753 -2.1386355906217096 
26171 41.88380225642024 18.547185151441095 -2.1650697072548244 
26172 41.82702134214961 18.489370525345283 -2.155197363927761 
26222 41.061018187054025 17.951950830674214 -2.102302904839356 
26325 40.98750147844787 17.598949083509176 -2.000980065784537 
26326 40.93056830009323 17.5393696338646 -1.9908426955725844 
26346 41.51812012405121 18.087952497870518 -2.0777660935759363 
26347 41.468313368565774 18.042324822022994 -2.0706334014348444 
26348 41.39382995971674 17.98883642780688 -2.063949791637694 
26350 41.31233307985567 17.93520155509397 -2.057995826835279 
26351 41.18300093708462 18.002206805733863 -2.0947520521205867 
26416 41.57374856900424 18.144334373776136 -2.08719698021166 
26520 41.891675176240255 18.4293486885379 -2.131027288644048 
26521 41.8332033310252 18.36965997991873 -2.1210022344197768 
26529 41.02813379578976 17.638380641083014 -2.0073926250509384 
26569 41.78789991426565 18.327215694917204 -2.1142641099413537 
26570 41.94374854938729 18.479541601040264 -2.1391559994091938 
26571 41.61881148236366 18.186129479663187 -2.093789498942375 
26607 41.140123404458336 17.764019435720982 -2.029651454833334 
26608 41.083180557604535 17.69964289999044 -2.0181900387071123 
26670 41.133539558726355 17.961510496019383 -2.089221765092026 
26671 41.725235672451575 18.275499227689235 -2.1068299132988253 
26672 41.68086788628962 18.23531658004724 -2.100602952439942 
