1 1 
aeromesh
body_mesh 1 wing 1993 
1903 38.92934217756115 16.10002384279154 -1.8562232746673597 
1904 38.957370290188976 16.125019146055244 -1.8600207756341882 
1905 38.98541096020599 16.150025647923542 -1.863819977989126 
1906 39.01346485759125 16.17504394587976 -1.8676209725069683 
1907 39.04153229957338 16.20007432282649 -1.8714238021687046 
1908 39.069613417425096 16.22511689583195 -1.8752284847603407 
1909 39.09770828267225 16.25017172868246 -1.8790350299728449 
1910 39.125816999954196 16.275238914694775 -1.8828434519836983 
1911 39.153939794864236 16.30031865505166 -1.8866537813583129 
1912 39.18207710258972 16.32541133785059 -1.8904660770597865 
1913 39.21022962363871 16.350517587800454 -1.8942804339992558 
1914 39.23839829662799 16.375638241954114 -1.8980969793489737 
1915 39.26658417141185 16.40077423656532 -1.901915855352645 
1916 39.29478822983642 16.425926447238595 -1.9057371950396234 
1917 39.323011239627675 16.451095558627372 -1.9095611024283319 
1918 39.351253702194676 16.476282017885246 -1.9133876454541836 
1919 39.37951589132196 16.501486069171644 -1.9172168612119722 
1920 39.407797933308736 16.526707825119438 -1.9210487668138518 
1921 39.43609987834654 16.551947330489135 -1.9248833690602216 
1922 39.46442173981856 16.577204597215797 -1.9287206697643593 
1923 39.49276350215967 16.602479611418516 -1.932560666817358 
1924 39.52112510812459 16.62777232204632 -1.936403352463116 
1925 39.54950643978197 16.653082623928704 -1.9402487107232276 
1926 39.57790730968786 16.678410349904304 -1.9440967162011034 
1927 39.60632747537778 16.70375528374473 -1.947947336045472 
1928 39.63476667740627 16.729117194078075 -1.9518005351043264 
1929 39.6632246852281 16.754495875305484 -1.9556562821413253 
1930 39.691701329524946 16.77989117642989 -1.9595145542156982 
1931 39.720196509311705 16.80530300739337 -1.9633753376450733 
1932 39.74871017786735 16.830731326530405 -1.9672386260992656 
1933 39.77724231920892 16.85617611958748 -1.9711044174127612 
1934 39.805792921356854 16.881637375881294 -1.9749727099624588 
1935 39.83436194063273 16.90711505645969 -1.9788434978304141 
1936 39.862949245262485 16.932609043807354 -1.9827167631626912 
1937 39.89155453771835 16.95811907259079 -1.9865924656475495 
1938 39.920177282818635 16.983644665538176 -1.9904705327737573 
1939 39.94881669135825 17.00918511884113 -1.9943508576127063 
1940 39.97747179673967 17.03473957049375 -1.9982333092010616 
1941 40.006141609811635 17.060307138376864 -2.0021177535197094 
1942 40.03482528338181 17.0858870669694 -2.0060040757834057 
1943 40.06352221130361 17.111478815713483 -2.0098921938659577 
1944 40.092232033457535 17.137082063456674 -2.0137820589751323 
1945 40.120954573938874 17.162696653328222 -2.0176736472777783 
1946 40.14968976057276 17.188322520962984 -2.0215669489949915 
1947 40.17843755439945 17.21395963161692 -2.0254619588481573 
1948 40.207197885628794 17.239607923051587 -2.029358667381479 
