1 1 
aeromesh
body_mesh 1 wing 365 
590 21.756830222924606 19.607882423415987 -1.5089112743779742 
591 21.771085730921534 19.324710023837397 -1.4614226412371907 
592 21.785490520383807 19.04157500174621 -1.413756507453291 
593 21.800040276091302 18.758471097812336 -1.3659497702453716 
594 21.814726390021853 18.475391901605896 -1.3180385223986748 
595 21.82953100794521 18.19233063538369 -1.270057853393675 
596 21.844434154426473 17.909280441600636 -1.2220423734714225 
597 21.859416589585127 17.626234493727342 -1.174026536873842 
598 21.87446196073082 17.343186080960518 -1.1260449224471092 
599 21.889558286235005 17.060128665241898 -1.078132476108527 
600 21.90469879412944 16.777055910244933 -1.0303247158761997 
601 21.919882123038693 16.493961682628864 -0.9826578986922774 
602 21.93511187692274 16.210840025549672 -0.9351691489935587 
603 21.950395508984947 15.927685103051967 -0.8878965521522187 
604 21.965742494972172 15.644491111559232 -0.8408792220356943 
605 21.981162968131706 15.361252203912947 -0.794157448575806 
606 21.996671340376828 15.077962652726237 -0.7477730566251584 
607 22.012286465789558 14.794616873518345 -0.701769521674207 
608 22.0280333229884 14.511209478476044 -0.6561924561484335 
609 22.04394166312398 14.227735224034836 -0.6110897848104061 
704 22.180076057444815 11.942230015825018 -0.31234708092650276 
705 22.147451626112794 12.446460330731139 -0.38254928773281416 
706 22.116376269013006 12.947799166643488 -0.45526799181009764 
707 22.086696182561667 13.444603381054087 -0.5298080515237483 
708 22.058262298925616 13.935290287627167 -0.605514639575222 
709 22.030935370238446 14.418356447086387 -0.6817764385845415 
710 22.004595462875578 14.892394812220484 -0.7580291821374789 
10033 18.989548308465565 20.46566615172822 -1.4018831528514064 
10034 18.927047727722098 20.23156657116138 -1.357185540493438 
10035 18.864392804897953 19.993615320841837 -1.3115512436801233 
10074 21.70965074697165 14.835557806807763 -0.6798521359754282 
10742 18.716507303876128 20.283497616253776 -1.3542290328134388 
11031 19.19523296503077 20.41856892526544 -1.4066854542693457 
11040 21.088502059253006 20.017027560979898 -1.5073507014392125 
11042 21.52279609158428 19.932765997614474 -1.5406714794754766 
11043 19.138690942589015 20.18007134025529 -1.3615162868954154 
11044 19.351283123894405 20.12910338038081 -1.3671967512040992 
11048 20.21006343039306 19.9314793762006 -1.4028483335154438 
11049 20.426935920050326 19.883680604200343 -1.4158422210008155 
11050 20.64487046345108 19.836481448762814 -1.4303456934909098 
11051 20.864124931418658 19.789840281942283 -1.445095640895329 
11052 21.08481354476739 19.74370995695614 -1.460304942348453 
11053 21.306982812579403 19.69804024774467 -1.4768733977804127 
11054 21.53089829180772 19.652780726708052 -1.4935278686046702 
11055 19.082199491490123 19.937983994803812 -1.315468810843692 
11056 19.300931587832657 19.882978507881074 -1.3207930202734426 
11057 19.520472783839622 19.828678651497754 -1.3274583658287615 
11058 19.740776453602816 19.77513301688123 -1.335436346811298 
11061 20.406446299394382 19.619120503524673 -1.3685257429488096 
11062 20.630185412509874 19.568585792353254 -1.3830139567173279 
11063 20.855229109118746 19.518713887056276 -1.3976316850830357 
11064 21.081674099690225 19.46944931051441 -1.4129092104506704 
11065 21.309611035131745 19.42073305607512 -1.4294854819436478 
11066 21.539318105427956 19.37250585181046 -1.446125316982841 
11067 19.025650657933078 19.692072871626724 -1.2685132146006475 
11068 19.250717270414352 19.63332574665351 -1.2735488515182742 
11069 19.476518054983895 19.575399782977044 -1.2799794385767638 
11070 19.702991900998633 19.518351275334787 -1.287772729147123 
11071 19.930134315473044 19.462205748089836 -1.2969551922552505 
11072 20.157987190209262 19.40695919012535 -1.3077346077209424 
11073 20.386589519515574 19.352585609830328 -1.3207072244619065 
11074 20.616132229039028 19.29904054354435 -1.335241421612701 
11075 20.846931416548337 19.246267497659595 -1.3497829574224487 
11076 21.079066160616847 19.194202378548514 -1.365189425704572 
11077 21.312673282898196 19.1427771153433 -1.381825930063229 
11078 21.548044466802033 19.091923314885367 -1.3984977447539766 
11082 19.665574903253145 19.258451263791976 -1.2393911815051173 
11083 19.898903438284915 19.199267434342232 -1.2485237791455783 
11084 20.13280781185494 19.141112205113846 -1.2593314547242989 
11085 20.367334018164623 19.08395598469231 -1.2723945164913748 
11086 20.60268779990379 19.027748170635782 -1.2870410581381369 
11087 20.83921528821358 18.972424532846723 -1.3015697699052353 
11088 21.07697850435612 18.917912176405334 -1.3171695223856053 
11089 21.316162022415618 18.864133791660148 -1.3339237965277715 
11090 21.557072208537186 18.811011699230654 -1.3506783649017051 
