
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   265      3  1.1E-04    277  1.0E-03  1.7E-01  1.8110441E+00    320 1.8E+02  M
   266      4  1.1E-04    279  1.0E-03  1.7E-01  1.8110422E+00    317 1.8E+02  M
   267      3  1.1E-04    281  1.0E-03  1.7E-01  1.8110401E+00    317 1.8E+02  M
   268      1  1.2E-04    283  1.0E-03  1.7E-01  1.8110381E+00    317 1.8E+02  M
   269      2  1.1E-04    285  1.0E-03  1.7E-01  1.8110361E+00    316 1.8E+02  M

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   270      3  1.1E-04    287  1.0E-03  1.7E-01  1.8110341E+00    316 1.8E+02  M
   271      2  1.1E-04    289  1.0E-03  1.7E-01  1.8110321E+00    317 1.8E+02  M
   272      2  1.1E-04    291  1.0E-03  1.7E-01  1.8110302E+00    316 1.8E+02  M
   273      1  9.8E-05    293  1.0E-03  1.7E-01  1.8110285E+00    316 1.8E+02  M
   274      5  9.8E-05    295  1.0E-03  1.7E-01  1.8110267E+00    312 1.8E+02  M
   275      1  8.4E-05    297  1.0E-03  1.7E-01  1.8110253E+00    312 1.8E+02  M
   276      2  7.2E-05    299  1.0E-03  1.7E-01  1.8110240E+00    311 1.8E+02  M
   277      1  6.5E-05    301  1.0E-03  1.7E-01  1.8110228E+00    311 1.8E+02  M
   278      1  6.5E-05    303  1.0E-03  1.7E-01  1.8110217E+00    311 1.8E+02  M
   279      1  6.5E-05    305  1.0E-03  1.7E-01  1.8110205E+00    311 1.8E+02  M

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   280      1  6.7E-05    307  1.0E-03  1.7E-01  1.8110193E+00    311 1.8E+02  M
   281      1  6.7E-05    309  1.0E-03  1.7E-01  1.8110181E+00    311 1.8E+02  M
   282      1  6.5E-05    311  1.0E-03  1.7E-01  1.8110170E+00    311 1.8E+02  M
   283      3  6.2E-05    313  1.0E-03  1.7E-01  1.8110159E+00    309 1.8E+02  M
   284      1  5.8E-05    315  1.0E-03  1.7E-01  1.8110149E+00    309 1.8E+02  M
   285      2  5.5E-05    317  1.0E-03  1.7E-01  1.8110139E+00    308 1.8E+02  M
   286      1  5.4E-05    319  1.0E-03  1.7E-01  1.8110130E+00    308 1.8E+02  M
   287      1  5.3E-05    321  1.0E-03  1.7E-01  1.8110121E+00    308 1.8E+02  M
   288     79  5.2E-05    323  1.0E-03  1.7E-01  1.8110112E+00    357 1.8E+02  MR
   289     19  1.0E+00    324  1.3E-03  1.5E-01  1.8106742E+00    347 1.8E+02 s

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   290     57  4.8E-01    325  1.8E-03  5.4E-02  1.8089059E+00    368 1.8E+02
   291     60  4.5E-02    326  1.9E-03  7.8E-02  1.8076386E+00    371 1.8E+02
   292     24  4.9E-02    327  1.8E-03  7.9E-02  1.8073111E+00    354 1.8E+02
   293      5  5.1E-02    328  1.7E-03  7.9E-02  1.8073143E+00    352 1.9E+02
   294     43  1.0E+00    329  8.1E-04  4.1E-01  1.8068434E+00    361 1.9E+02
   295     33  3.3E-01    330  1.2E-03  6.2E-02  1.8053827E+00    353 1.9E+02
   296     21  8.3E-02    331  1.2E-03  5.9E-02  1.8049735E+00    343 1.9E+02
   297     54  1.0E+00    332  4.4E-04  1.3E-01  1.8039590E+00    364 1.9E+02
   298     50  1.5E-01    333  5.2E-04  6.6E-02  1.8032108E+00    341 1.9E+02
   299     34  1.0E+00    334  5.2E-05  7.4E-02  1.8019648E+00    349 1.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   300     25  4.4E-02    335  5.3E-05  7.4E-02  1.8017849E+00    348 1.9E+02
   301     18  6.3E-02    336  6.7E-05  7.4E-02  1.8012421E+00    347 1.9E+02
   302     21  6.0E-02    337  7.9E-05  7.5E-02  1.8007104E+00    341 1.9E+02
   303     23  1.6E-01    338  9.5E-05  7.7E-02  1.7996286E+00    343 1.9E+02
   304     14  5.8E-04    339  9.5E-05  7.7E-02  1.7996245E+00    334 1.9E+02
   305      7  1.6E-01    340  1.1E-04  8.0E-02  1.7986745E+00    338 1.9E+02
   306     21  5.0E-02    341  1.1E-04  8.1E-02  1.7984308E+00    342 1.9E+02
   307     12  1.0E-01    342  1.1E-04  8.2E-02  1.7980025E+00    339 1.9E+02
   308      9  1.2E-01    343  1.1E-04  8.5E-02  1.7974616E+00    337 1.9E+02
   309      9  8.7E-02    344  1.2E-04  8.7E-02  1.7969931E+00    333 1.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   310     19  6.9E-02    345  1.2E-04  8.9E-02  1.7965905E+00    339 1.9E+02
   311     17  1.2E-01    346  1.2E-04  9.2E-02  1.7957912E+00    329 1.9E+02
   312     22  9.9E-02    347  1.2E-04  9.5E-02  1.7951802E+00    340 1.9E+02
   313     20  1.1E-01    348  1.2E-04  9.7E-02  1.7945479E+00    331 1.9E+02
   314     13  2.3E-01    349  1.3E-04  1.0E-01  1.7932604E+00    329 1.9E+02
   315     19  1.6E-01    350  1.3E-04  1.1E-01  1.7924648E+00    327 1.9E+02
   316     32  1.4E-01    351  1.2E-04  1.1E-01  1.7917735E+00    340 1.9E+02
   317     23  1.4E-01    352  1.1E-04  1.1E-01  1.7911266E+00    328 1.9E+02
   318     28  1.6E-01    353  1.1E-04  1.1E-01  1.7903416E+00    325 1.9E+02
   319     47  2.4E-03    355  1.1E-04  1.1E-01  1.7903219E+00    339 1.9E+02  M

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   320      6  9.3E-04    357  1.1E-04  1.1E-01  1.7903148E+00    344 1.9E+02  M
   321     16  1.0E-03    359  1.1E-04  1.1E-01  1.7903069E+00    334 1.9E+02  M
   322      4  7.9E-04    361  1.1E-04  1.1E-01  1.7903012E+00    335 1.9E+02  M
   323      6  8.6E-04    363  1.1E-04  1.1E-01  1.7902949E+00    336 1.9E+02  M
   324      3  8.0E-04    365  1.1E-04  1.1E-01  1.7902890E+00    334 1.9E+02  M
   325      1  6.4E-04    367  1.1E-04  1.1E-01  1.7902842E+00    334 1.9E+02  M
   326     59  6.0E-04    368  1.1E-04  1.1E-01  1.7902797E+00    352 1.9E+02
   327     35  1.0E-01    369  1.3E-04  1.1E-01  1.7888338E+00    340 1.9E+02
   328     52  1.3E-03    370  1.3E-04  1.1E-01  1.7888202E+00    345 1.9E+02
   329     47  2.6E-02    371  1.4E-04  1.1E-01  1.7882014E+00    357 1.9E+02   R

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   330     14  1.0E+00    372  8.4E-05  1.1E-01  1.7873899E+00    346 1.9E+02 s
   331     16  1.0E+00    373  4.9E-05  9.7E-02  1.7862472E+00    337 1.9E+02
   332     14  3.0E-01    374  4.3E-05  9.4E-02  1.7857294E+00    340 1.9E+02
   333      9  3.1E-01    375  6.6E-05  8.6E-02  1.7847398E+00    344 1.9E+02
   334     13  1.0E+00    376  1.2E-04  7.3E-02  1.7836492E+00    342 1.9E+02
   335     10  4.2E-01    377  1.2E-04  7.1E-02  1.7830879E+00    341 1.9E+02
   336     26  1.0E+00    378  2.6E-04  6.8E-02  1.7820184E+00    333 1.9E+02
   337     33  2.3E-01    379  4.4E-04  6.6E-02  1.7819166E+00    342 1.9E+02
   338     11  1.0E+00    380  1.2E-04  6.1E-02  1.7811551E+00    336 1.9E+02
   339     42  1.0E+00    381  2.7E-05  5.4E-02  1.7792706E+00    327 1.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   340     29  6.9E-02    382  3.3E-05  5.3E-02  1.7786455E+00    327 1.9E+02
   341     22  1.8E-01    383  7.8E-05  7.8E-02  1.7774706E+00    322 1.9E+02
   342     48  1.7E-01    384  9.9E-05  4.3E-02  1.7761274E+00    347 1.9E+02
   343     45  3.4E-01    385  9.9E-05  4.3E-02  1.7739950E+00    344 1.9E+02
   344     36  2.0E-01    386  7.2E-05  5.8E-02  1.7729080E+00    334 1.9E+02
   345     72  3.4E-02    387  7.4E-05  4.3E-02  1.7726739E+00    324 1.9E+02
   346     33  6.0E-02    388  9.4E-05  4.1E-02  1.7717333E+00    327 1.9E+02
   347     60  5.2E-04    389  9.4E-05  4.2E-02  1.7717258E+00    343 1.9E+02
   348     44  1.7E-01    390  8.3E-05  4.0E-02  1.7698562E+00    337 1.9E+02
   349     51  7.0E-02    391  8.7E-05  4.1E-02  1.7689897E+00    345 1.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   350     74  4.4E-02    392  9.3E-05  3.7E-02  1.7682729E+00    338 1.9E+02
   351     61  5.8E-02    393  1.1E-04  3.5E-02  1.7672386E+00    344 1.9E+02
   352     31  1.7E-01    394  1.2E-04  6.7E-02  1.7650146E+00    328 1.9E+02
   353    113  1.3E-01    395  1.5E-04  7.4E-02  1.7632077E+00    341 1.9E+02
   354     52  3.7E-02    396  1.6E-04  2.9E-02  1.7623204E+00    352 1.9E+02
   355     36  3.1E-01    397  1.8E-04  9.3E-02  1.7598419E+00    353 1.9E+02
   356     57  6.5E-03    398  1.8E-04  8.0E-02  1.7597674E+00    356 1.9E+02
   357     45  6.7E-02    399  1.7E-04  2.4E-02  1.7589220E+00    347 1.9E+02
   358     41  1.7E-01    400  1.6E-04  3.8E-02  1.7576036E+00    340 1.9E+02
   359     29  5.2E-02    401  1.6E-04  3.7E-02  1.7569836E+00    333 1.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   360     28  1.5E-01    402  1.9E-04  6.5E-02  1.7556580E+00    330 1.9E+02
   361     19  1.5E-01    403  1.8E-04  2.4E-02  1.7534127E+00    324 1.9E+02
   362     26  1.2E-01    404  1.9E-04  2.7E-02  1.7518980E+00    329 1.9E+02
   363     19  4.5E-02    405  1.8E-04  2.6E-02  1.7514433E+00    325 1.9E+02
   364     34  4.0E-03    406  1.8E-04  2.6E-02  1.7513978E+00    329 1.9E+02
   365     31  5.5E-02    407  1.8E-04  2.6E-02  1.7506717E+00    332 1.9E+02
   366     52  4.4E-02    408  1.7E-04  2.7E-02  1.7499959E+00    327 1.9E+02
   367     88  1.4E-01    409  1.7E-04  3.7E-02  1.7478626E+00    324 1.9E+02
   368     34  4.3E-03    410  1.7E-04  3.6E-02  1.7477921E+00    330 1.9E+02
   369     64  6.1E-05    411  1.7E-04  3.6E-02  1.7477912E+00    330 1.9E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   370     61  1.0E-01    412  1.8E-04  2.5E-02  1.7460081E+00    360 1.9E+02   R
   371     12  3.9E-01    413  1.7E-04  3.0E-02  1.7455273E+00    358 1.9E+02 s
   372     17  1.0E+00    414  4.6E-05  3.2E-02  1.7451278E+00    353 2.2E+02
   373     19  1.0E+00    415  1.1E-04  2.8E-02  1.7441022E+00    349 2.2E+02
   374     62  1.2E-01    416  1.4E-04  2.8E-02  1.7439420E+00    353 2.2E+02
   375     12  1.5E-01    417  1.2E-04  2.8E-02  1.7437595E+00    350 2.2E+02
   376     17  1.0E+00    418  7.4E-05  2.8E-02  1.7434719E+00    340 2.2E+02
   377     10  1.0E+00    419  8.0E-05  3.0E-02  1.7428011E+00    343 2.2E+02
   378     14  1.0E+00    420  4.4E-05  2.8E-02  1.7422484E+00    346 2.2E+02
   379     16  3.0E-01    421  3.1E-05  2.6E-02  1.7420095E+00    338 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   380     11  1.0E+00    422  3.0E-05  2.0E-02  1.7410454E+00    335 2.2E+02
   381     27  1.0E+00    423  9.0E-06  2.0E-02  1.7406519E+00    332 2.2E+02
   382     15  1.1E-01    424  8.1E-06  2.0E-02  1.7403845E+00    330 2.2E+02
   383     12  2.5E-01    425  9.1E-06  1.9E-02  1.7400146E+00    327 2.2E+02
   384     11  1.9E-01    426  9.9E-06  1.9E-02  1.7396846E+00    329 2.2E+02
   385     13  2.1E-01    427  1.2E-05  2.0E-02  1.7392407E+00    331 2.2E+02
   386     20  3.6E-01    428  1.4E-05  2.0E-02  1.7384530E+00    340 2.2E+02
   387     13  2.9E-01    429  1.4E-05  2.3E-02  1.7379204E+00    332 2.2E+02
   388     18  1.7E-01    430  1.7E-05  2.7E-02  1.7374331E+00    329 2.2E+02
   389     21  5.1E-02    431  1.8E-05  2.9E-02  1.7372453E+00    341 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   390     19  1.7E-01    432  2.1E-05  3.7E-02  1.7366811E+00    345 2.2E+02
   391     24  1.4E-01    433  2.1E-05  4.2E-02  1.7361649E+00    340 2.2E+02
   392     28  1.2E-01    434  2.5E-05  3.8E-02  1.7357448E+00    343 2.2E+02
   393     24  1.7E-01    435  2.9E-05  3.2E-02  1.7353781E+00    350 2.2E+02
   394     32  5.6E-02    436  3.0E-05  2.5E-02  1.7351372E+00    349 2.2E+02
   395     10  6.2E-02    437  3.0E-05  2.3E-02  1.7349292E+00    342 2.2E+02
   396     15  1.7E-01    438  3.2E-05  2.4E-02  1.7342799E+00    344 2.2E+02
   397     48  1.0E+00    439  2.4E-04  1.2E-01  1.7331968E+00    337 2.2E+02
   398     40  4.4E-01    440  2.8E-04  4.9E-02  1.7320182E+00    343 2.2E+02
   399     44  1.7E-01    441  3.0E-04  2.5E-02  1.7317488E+00    340 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   400      9  3.9E-01    442  1.9E-04  2.6E-02  1.7310880E+00    338 2.2E+02
   401     48  4.1E-01    443  1.1E-04  2.7E-02  1.7302472E+00    348 2.2E+02
   402     33  1.9E-01    444  1.0E-04  2.8E-02  1.7294782E+00    342 2.2E+02
   403     43  2.9E-01    445  9.3E-05  5.8E-02  1.7287850E+00    337 2.2E+02
   404     39  6.8E-03    446  9.3E-05  6.9E-02  1.7287463E+00    332 2.2E+02
   405     66  1.0E-01    447  1.0E-04  2.6E-02  1.7279674E+00    328 2.2E+02
   406     45  4.4E-02    448  1.1E-04  2.6E-02  1.7277355E+00    328 2.2E+02
   407     21  1.3E-01    449  1.0E-04  2.7E-02  1.7271192E+00    327 2.2E+02
   408     18  1.4E-01    450  9.3E-05  2.7E-02  1.7265037E+00    330 2.2E+02
   409     40  1.4E-01    451  9.1E-05  2.8E-02  1.7260552E+00    349 2.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   410     35  1.2E-02    452  9.0E-05  2.8E-02  1.7260143E+00    332 2.2E+02
   411     31  2.9E-01    453  7.3E-05  3.0E-02  1.7248749E+00    347 2.2E+02   R
   412     10  4.8E-01    454  5.2E-05  3.0E-02  1.7246486E+00    340 2.2E+02 s
   413      6  1.0E+00    455  1.4E-05  3.1E-02  1.7242165E+00    335 2.2E+02
   414     12  1.0E+00    456  6.7E-06  3.2E-02  1.7237708E+00    328 2.2E+02
   415     14  1.0E+00    457  5.1E-05  1.0E-01  1.7231767E+00    328 2.2E+02
   416     21  4.0E-01    458  9.5E-05  3.2E-02  1.7230696E+00    337 2.2E+02
   417     10  4.5E-01    459  9.7E-05  3.2E-02  1.7228885E+00    337 2.2E+02
   418      7  1.0E+00    460  1.8E-05  3.3E-02  1.7225763E+00    333 3.2E+02
   419      5  1.0E+00    461  3.6E-06  3.3E-02  1.7221725E+00    333 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   420      5  1.0E+00    462  3.2E-05  3.2E-02  1.7216365E+00    331 3.2E+02
   421      8  1.0E+00    463  2.1E-06  3.2E-02  1.7212975E+00    326 3.2E+02
   422     20  1.0E+00    464  1.3E-05  3.9E-02  1.7209875E+00    330 3.2E+02
   423     12  1.0E+00    465  6.1E-05  3.2E-02  1.7206852E+00    332 3.2E+02
   424      6  1.0E+00    466  9.8E-06  3.3E-02  1.7203142E+00    331 3.2E+02
   425     10  1.0E+00    467  1.2E-05  3.3E-02  1.7200659E+00    332 3.2E+02
   426      7  3.5E-01    468  1.2E-05  3.3E-02  1.7199409E+00    334 3.2E+02
   427      8  4.7E-01    469  1.5E-05  3.3E-02  1.7197877E+00    333 3.2E+02
   428      3  1.0E+00    470  2.0E-05  3.2E-02  1.7194902E+00    333 3.2E+02
   429     12  1.0E+00    471  8.8E-06  3.2E-02  1.7193494E+00    332 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   430      6  1.0E+00    472  5.7E-05  3.1E-02  1.7191875E+00    335 3.2E+02
   431     10  1.0E+00    473  8.2E-05  3.1E-02  1.7189188E+00    332 3.2E+02
   432     11  1.0E+00    474 (9.2E-07) 3.3E-02  1.7184856E+00    328 3.2E+02
   433      8  1.0E+00    475  2.4E-06  3.3E-02  1.7179835E+00    325 3.2E+02
   434      7  1.5E-01    476  3.1E-06  3.4E-02  1.7178291E+00    327 3.2E+02
   435      6  9.4E-02    477  5.4E-06  3.4E-02  1.7176882E+00    326 3.2E+02
   436      7  6.3E-04    478  5.5E-06  3.4E-02  1.7176868E+00    320 3.2E+02
   437      5  9.6E-02    479  9.5E-06  3.4E-02  1.7173832E+00    322 3.2E+02
   438      4  8.0E-02    480  1.2E-05  3.4E-02  1.7171290E+00    325 3.2E+02
   439      2  1.3E-01    481  1.6E-05  3.4E-02  1.7166909E+00    324 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   440     14  9.7E-02    482  1.9E-05  3.4E-02  1.7164216E+00    337 3.2E+02
   441      6  2.2E-04    483  1.9E-05  3.4E-02  1.7164213E+00    338 3.2E+02
   442      9  1.2E-01    484  2.1E-05  3.4E-02  1.7161803E+00    338 3.2E+02
   443     10  1.6E-01    485  2.1E-05  3.4E-02  1.7159443E+00    330 3.2E+02
   444     12  2.3E-01    486  2.0E-05  3.5E-02  1.7155567E+00    329 3.2E+02
   445     10  1.9E-01    487  2.0E-05  3.6E-02  1.7151939E+00    324 3.2E+02
   446     15  2.0E-01    488  2.0E-05  3.7E-02  1.7148491E+00    330 3.2E+02
   447     11  2.6E-01    489  2.0E-05  3.9E-02  1.7144096E+00    330 3.2E+02
   448     30  1.0E+00    490  6.8E-05  7.0E-02  1.7136963E+00    332 3.2E+02
   449     40  1.0E+00    491  2.4E-04  4.3E-02  1.7135390E+00    339 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   450     11  1.0E+00    492  2.0E-04  4.3E-02  1.7133857E+00    331 3.2E+02
   451      5  1.0E+00    493  3.1E-06  4.8E-02  1.7121904E+00    331 3.2E+02
   452      6  1.0E+00    494  8.1E-06  4.7E-02  1.7118554E+00    328 3.2E+02   R
   453     21  1.0E+00    495  1.0E-06  4.6E-02  1.7117249E+00    318 3.2E+02 s
   454     13  9.0E-02    496  3.1E-06  4.6E-02  1.7115810E+00    318 3.2E+02
   455     21  5.8E-02    497  4.1E-06  4.6E-02  1.7114592E+00    311 3.2E+02
   456     19  6.7E-02    498  5.4E-06  4.6E-02  1.7112625E+00    309 3.2E+02
   457     56  7.9E-02    499  1.4E-05  4.5E-02  1.7110319E+00    299 3.2E+02
   458     29  2.5E-02    500  1.6E-05  4.5E-02  1.7108231E+00    319 3.2E+02
   459     17  1.2E-01    501  1.9E-05  4.5E-02  1.7105161E+00    315 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   460     12  7.2E-02    502  1.9E-05  4.5E-02  1.7104089E+00    318 3.2E+02
   461      7  1.3E-01    503  1.9E-05  4.5E-02  1.7101512E+00    316 3.2E+02
   462     10  1.2E-01    504  1.9E-05  4.5E-02  1.7099629E+00    317 3.2E+02
   463     16  1.5E-01    505  1.9E-05  4.5E-02  1.7098120E+00    308 3.2E+02
   464     11  1.1E-01    506  1.9E-05  4.5E-02  1.7096310E+00    306 3.2E+02
   465     10  8.0E-02    507  1.9E-05  4.5E-02  1.7094757E+00    307 3.2E+02
   466     13  1.3E-01    508  2.0E-05  4.6E-02  1.7091882E+00    307 3.2E+02
   467     14  1.1E-01    509  2.1E-05  4.7E-02  1.7089437E+00    304 3.2E+02
   468     19  1.2E-01    510  2.0E-05  4.7E-02  1.7086587E+00    310 3.2E+02
   469     18  2.0E-01    511  1.9E-05  4.9E-02  1.7081902E+00    307 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   470     11  2.1E-01    512  2.1E-05  5.1E-02  1.7078595E+00    301 3.2E+02
   471     15  1.5E-01    513  2.1E-05  5.2E-02  1.7075826E+00    305 3.2E+02
   472     14  1.7E-01    514  2.2E-05  5.2E-02  1.7072878E+00    296 3.2E+02
   473     18  1.8E-01    515  2.4E-05  5.3E-02  1.7069547E+00    307 3.2E+02
   474     14  4.0E-02    516  2.4E-05  5.3E-02  1.7068680E+00    298 3.2E+02
   475     16  3.3E-03    517  2.4E-05  5.3E-02  1.7068595E+00    299 3.2E+02
   476     11  1.6E-03    518  2.4E-05  5.3E-02  1.7068542E+00    297 3.2E+02
   477     12  1.2E-02    519  2.4E-05  5.3E-02  1.7068032E+00    292 3.2E+02
   478     16  8.7E-04    520  2.4E-05  5.3E-02  1.7067994E+00    301 3.2E+02
   479     17  5.4E-04    521  2.4E-05  5.3E-02  1.7067967E+00    297 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   480     24  7.4E-03    522  2.4E-05  5.3E-02  1.7067559E+00    295 3.2E+02
   481     15  3.1E-04    523  2.4E-05  5.3E-02  1.7067541E+00    292 3.2E+02
   482     21  3.0E-04    524  2.4E-05  5.3E-02  1.7067523E+00    296 3.2E+02
   483     16  2.4E-04    525  2.4E-05  5.3E-02  1.7067508E+00    293 3.2E+02
   484     17  2.0E-04    526  2.4E-05  5.3E-02  1.7067494E+00    299 3.2E+02
   485     11  1.9E-04    527  2.4E-05  5.3E-02  1.7067482E+00    299 3.2E+02
   486      9  3.5E-02    528  2.6E-05  5.3E-02  1.7065042E+00    293 3.2E+02
   487     10  1.6E-04    529  2.6E-05  5.3E-02  1.7065032E+00    298 3.2E+02
   488     10  1.5E-04    530  2.6E-05  5.3E-02  1.7065022E+00    295 3.2E+02
   489      8  3.4E-02    531  2.7E-05  5.3E-02  1.7062634E+00    292 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   490      6  1.2E-04    532  2.7E-05  5.3E-02  1.7062626E+00    293 3.2E+02
   491     12  3.3E-02    533  2.8E-05  5.4E-02  1.7060408E+00    292 3.2E+02
   492     11  1.1E-04    534  2.8E-05  5.4E-02  1.7060401E+00    292 3.2E+02
   493     47  1.1E-04    535  2.8E-05  5.4E-02  1.7060394E+00    318 3.2E+02   R
   494     13  1.0E+00    536  8.0E-06  5.3E-02  1.7058651E+00    310 3.2E+02 s
   495     21  4.2E-01    537  2.6E-05  5.3E-02  1.7056348E+00    301 3.2E+02
   496      8  1.3E-01    538  2.5E-05  5.2E-02  1.7054665E+00    302 3.2E+02
   497     17  4.3E-01    539  3.8E-05  5.2E-02  1.7050743E+00    290 3.2E+02
   498     21  9.6E-02    540  4.5E-05  5.2E-02  1.7049502E+00    294 3.2E+02
   499     23  6.3E-02    541  4.5E-05  5.1E-02  1.7047996E+00    304 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   500     15  7.5E-05    542  4.5E-05  5.1E-02  1.7047995E+00    296 3.2E+02
   501     13  3.9E-02    543  4.4E-05  5.1E-02  1.7046964E+00    294 3.2E+02
   502     15  1.9E-02    544  4.4E-05  5.1E-02  1.7046372E+00    296 3.2E+02
   503     15  1.0E-01    545  4.4E-05  5.1E-02  1.7042920E+00    300 3.2E+02
   504     22  1.5E-06    546  4.4E-05  5.1E-02  1.7042920E+00    299 3.2E+02
   505     23  6.9E-05    547  4.4E-05  5.1E-02  1.7042918E+00    293 3.2E+02
   506     22  5.6E-07    548  4.4E-05  5.1E-02  1.7042918E+00    294 3.2E+02
   507     30  5.3E-07    549  4.4E-05  5.1E-02  1.7042918E+00    291 3.2E+02
   508     37  5.3E-07    550  4.4E-05  5.1E-02  1.7042918E+00    291 3.2E+02
   509     26  1.0E-06    551  4.4E-05  5.1E-02  1.7042918E+00    278 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   510     29  9.4E-07    552  4.4E-05  5.1E-02  1.7042918E+00    288 3.2E+02
   511     28  8.2E-07    553  4.4E-05  5.1E-02  1.7042918E+00    285 3.2E+02
   512     27  8.9E-07    554  4.4E-05  5.1E-02  1.7042918E+00    270 3.2E+02
   513     40  9.5E-02    555  5.9E-05  5.3E-02  1.7033073E+00    291 3.2E+02
   514     19  5.5E-02    556  6.2E-05  5.5E-02  1.7029362E+00    291 3.2E+02
   515     35  8.6E-07    557  6.2E-05  5.5E-02  1.7029361E+00    287 3.2E+02
   516     43  5.8E-07    558  6.2E-05  5.5E-02  1.7029361E+00    290 3.2E+02
   517     32  7.8E-07    559  6.2E-05  5.5E-02  1.7029361E+00    275 3.2E+02
   518     18  2.7E-02    560  6.3E-05  5.6E-02  1.7026842E+00    272 3.2E+02
   519     20  6.6E-07    561  6.3E-05  5.6E-02  1.7026842E+00    276 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   520     35  9.4E-07    562  6.3E-05  5.6E-02  1.7026842E+00    282 3.2E+02
   521     37  9.4E-02    563  6.6E-05  5.9E-02  1.7018040E+00    271 3.2E+02
   522     35  1.1E-01    564  7.9E-05  6.2E-02  1.7009524E+00    293 3.2E+02
   523     13  1.1E-06    565  7.9E-05  6.2E-02  1.7009524E+00    291 3.2E+02
   524     20  4.9E-02    566  7.9E-05  6.3E-02  1.7005941E+00    286 3.2E+02
   525     22  6.7E-02    567  7.8E-05  6.5E-02  1.7001161E+00    279 3.2E+02
   526     20  7.3E-02    568  7.9E-05  6.8E-02  1.6995982E+00    288 3.2E+02
   527     33  6.0E-02    569  7.9E-05  7.0E-02  1.6991896E+00    286 3.2E+02
   528     29  8.6E-02    570  8.1E-05  7.2E-02  1.6987232E+00    286 3.2E+02
   529     39  2.8E-03    571  8.1E-05  7.2E-02  1.6987070E+00    304 3.2E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   530     28  1.3E-01    572  7.5E-05  7.4E-02  1.6983719E+00    293 3.2E+02
   531     34  1.1E-01    573  8.0E-05  7.6E-02  1.6979385E+00    282 3.2E+02
   532     24  4.2E-02    574  8.2E-05  7.7E-02  1.6976464E+00    271 3.2E+02
   533     45  1.9E-04    575  8.2E-05  7.7E-02  1.6976447E+00    294 3.2E+02
   534     34  1.2E-02    576  8.1E-05  7.8E-02  1.6975745E+00    313 3.2E+02   R
   535     27  1.0E+00    577  8.1E-05  8.1E-02  1.6970480E+00    301 3.2E+02 s
   536     24  3.2E-01    578  1.2E-04  8.1E-02  1.6969821E+00    317 3.2E+02
   537     28  1.0E+00    579  8.8E-05  7.9E-02  1.6967292E+00    312 3.2E+02
   538     24  1.5E-01    580  1.0E-04  8.0E-02  1.6966085E+00    312 3.2E+02
