
 ==============================
 S N O P T  7.7.1    (Nov 2018)
 ==============================
 
 SNMEMB EXIT 100 -- finished successfully
 SNMEMB INFO 104 -- memory requirements estimated
 
 

 Nonlinear constraints       1     Linear constraints     604
 Nonlinear variables       444     Linear variables         0
 Jacobian  variables       444     Objective variables    444
 Total constraints         605     Total variables        444
 

 
 The user has defined     444   out of     444   constraint gradients.
 The user has defined     444   out of     444   objective  gradients.
 

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    59    173  4.1E-02     60  2.4E-01  1.0E-01  2.1582722E+00    192 3.7E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    60    133  5.0E-02     61  2.3E-01  3.4E-01  2.1337916E+00    179 3.7E+00
    61    188  5.3E-03     62  2.3E-01  2.4E-01  2.1303078E+00    163 3.7E+00
    62    273  3.5E-02     63  2.2E-01  2.7E-01  2.1128897E+00    183 3.7E+00
    63    294  2.1E-04     64  2.2E-01  1.8E-01  2.1127060E+00    186 3.7E+00
    64    294  2.1E-04     65  2.2E-01  3.5E-01  2.1125167E+00    204 3.7E+00
    65    340  1.8E-04     66  2.2E-01  4.3E-01  2.1123851E+00    204 3.7E+00
    66    200  4.9E-03     67  2.2E-01  2.4E-01  2.1097068E+00    163 3.7E+00
    67    226  2.2E-04     68  2.2E-01  4.8E-01  2.1095915E+00    150 3.7E+00
    68    218  1.9E-04     69  2.2E-01  4.7E-01  2.1094593E+00    178 3.7E+00
    69    228  1.2E-02     70  2.2E-01  3.8E-01  2.1017008E+00    180 3.7E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    70    395  3.7E-02     71  2.1E-01  3.6E-01  2.0865661E+00    179 3.7E+00
    71    391  5.3E-03     72  2.1E-01  2.1E-01  2.0819822E+00    193 3.7E+00
    72    238  5.2E-02     73  2.0E-01  3.8E-01  2.0552242E+00    186 3.7E+00
    73    215  7.1E-03     74  2.0E-01  3.1E-01  2.0510150E+00    191 3.7E+00
    74    339  6.7E-03     75  2.0E-01  3.9E-01  2.0465708E+00    186 3.7E+00
    75    225  3.6E-02     76  1.9E-01  1.0E-01  2.0309837E+00    180 3.7E+00
    76    269  4.3E-02     77  1.8E-01  1.8E-01  2.0149953E+00    182 3.7E+00
    77    230  2.4E-04     78  1.8E-01  1.8E-01  2.0148691E+00    204 3.7E+00
    78    353  3.4E-04     79  1.8E-01  1.7E-01  2.0146775E+00    193 3.7E+00
    79    317  8.2E-03     80  1.8E-01  9.9E-02  2.0107914E+00    196 3.7E+00

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    80    166  7.7E-04     81  1.8E-01  1.5E-01  2.0105001E+00    174 3.7E+00
    81    113  3.0E-04     82  1.8E-01  1.4E-01  2.0103854E+00    171 3.7E+00
    82    177  5.1E-03     83  1.8E-01  1.5E-01  2.0082293E+00    165 3.7E+00
    83    382  4.7E-03     84  1.8E-01  1.5E-01  2.0060054E+00    305 3.7E+00   R
    84    107  9.4E-03     85  1.8E-01  1.1E-01  3.8194634E+00    302 3.9E+01 s
    85    171  6.6E-02     86  1.6E-01  1.5E-01  3.6762659E+00    281 3.9E+01
    86    160  1.4E-02     87  1.6E-01  1.2E-01  2.5974399E+00    257 1.5E+01
    87    149  6.0E-02     88  1.5E-01  7.8E-01  2.5673487E+00    270 1.5E+01
    88    187  6.9E-02     89  1.4E-01  2.7E-01  2.4979294E+00    275 1.5E+01
    89     95  1.2E-02     90  1.3E-01  2.0E-01  2.4841189E+00    259 1.5E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
    90    137  1.1E-03     91  1.3E-01  2.0E-01  2.4827537E+00    248 1.5E+01
    91    135  5.1E-03     92  1.3E-01  2.0E-01  2.4778061E+00    252 1.5E+01
    92    173  2.4E-02     93  1.3E-01  2.5E-01  2.4665196E+00    243 1.5E+01
    93    124  4.0E-02     94  1.2E-01  1.7E-01  2.4291379E+00    237 1.5E+01
    94    108  3.8E-02     95  1.2E-01  4.9E-01  2.4075158E+00    233 1.5E+01
    95     52  1.6E-04     96  1.2E-01  4.3E-01  2.4073937E+00    235 1.5E+01
    96    180  1.4E-04     97  1.2E-01  4.9E-01  2.4072622E+00    283 1.5E+01
    97    238  2.6E-04     98  1.2E-01  5.0E-01  2.4070459E+00    243 1.5E+01
    98    202  2.1E-04     99  1.2E-01  3.8E-01  2.4068427E+00    217 1.5E+01
    99    185  3.7E-05    100  1.2E-01  5.0E-01  2.4068025E+00    231 1.5E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   100    103  1.6E-04    101  1.2E-01  5.0E-01  2.4066891E+00    225 1.5E+01
   101    163  8.9E-05    102  1.2E-01  5.0E-01  2.4066040E+00    257 1.5E+01
   102     34  2.4E-04    104  1.2E-01  5.0E-01  2.4064350E+00    240 1.5E+01  M
   103    112  2.3E-04    105  1.2E-01  5.1E-01  2.4062854E+00    221 1.5E+01
   104    126  2.6E-04    106  1.2E-01  5.1E-01  2.4060578E+00    262 1.5E+01
   105    130  3.8E-04    107  1.2E-01  5.2E-01  2.4057261E+00    228 1.5E+01
   106    159  1.3E-04    108  1.2E-01  5.2E-01  2.4056092E+00    277 1.5E+01
   107    125  7.4E-04    109  1.2E-01  4.7E-01  2.4050420E+00    230 1.5E+01
   108    152  6.0E-04    110  1.2E-01  5.4E-01  2.4044799E+00    253 1.5E+01
   109    115  3.8E-04    111  1.2E-01  5.5E-01  2.4041803E+00    209 1.5E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   110    204  7.7E-05    112  1.2E-01  5.5E-01  2.4041023E+00    252 1.5E+01
   111     20  2.5E-04    114  1.2E-01  5.6E-01  2.4039286E+00    259 1.5E+01  M
   112    119  2.8E-04    115  1.2E-01  5.8E-01  2.4037405E+00    240 1.5E+01
   113    134  2.5E-04    116  1.2E-01  5.7E-01  2.4035296E+00    239 1.5E+01
   114    125  2.0E-04    117  1.2E-01  5.7E-01  2.4033722E+00    215 1.5E+01
   115    149  1.1E-04    118  1.2E-01  5.7E-01  2.4032696E+00    233 1.5E+01
   116    110  3.5E-04    119  1.2E-01  5.8E-01  2.4029971E+00    203 1.5E+01
   117    140  7.3E-05    120  1.2E-01  5.8E-01  2.4029209E+00    209 1.5E+01
   118    138  2.5E-04    121  1.2E-01  5.9E-01  2.4027444E+00    225 1.5E+01
   119    126  9.2E-05    122  1.2E-01  5.9E-01  2.4026668E+00    209 1.5E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   120    182  1.7E-04    123  1.2E-01  5.9E-01  2.4025297E+00    233 1.5E+01
   121    138  1.0E-04    124  1.2E-01  5.9E-01  2.4024331E+00    210 1.5E+01
   122    114  1.6E-04    125  1.2E-01  6.0E-01  2.4023001E+00    234 1.5E+01
   123    144  1.2E-04    126  1.2E-01  6.0E-01  2.4021927E+00    238 1.5E+01
   124    342  1.6E-04    127  1.2E-01  6.1E-01  2.4020481E+00    297 1.5E+01   R
   125    160  1.1E-02    128  1.2E-01  6.6E-01  1.7925405E+01    281 5.5E+02 s
   126    135  6.2E-02    129  1.1E-01  1.3E+00  6.3029859E+00    298 1.5E+02
   127     87  5.2E-02    130  1.1E-01  3.4E+00  3.9858997E+00    292 7.0E+01
   128    110  1.8E-02    131  1.0E-01  2.4E+00  3.9212911E+00    266 7.0E+01
   129     94  6.7E-03    132  1.0E-01  2.3E+00  3.8959751E+00    241 7.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   130    226  2.6E-03    133  1.0E-01  2.2E+00  3.8874025E+00    266 7.0E+01
   131    145  1.4E-02    134  1.0E-01  2.0E+00  3.8442690E+00    258 7.0E+01
   132    172  7.7E-02    135  9.4E-02  1.5E+00  3.6113616E+00    251 7.0E+01
   133    101  1.4E-02    136  9.2E-02  1.6E+00  3.5736241E+00    248 7.0E+01
   134    146  6.7E-02    137  8.6E-02  1.7E+00  3.4138395E+00    249 7.0E+01
   135    104  8.9E-05    138  8.6E-02  1.7E+00  3.4136137E+00    226 7.0E+01
   136    108  6.6E-05    139  8.6E-02  1.7E+00  3.4134364E+00    216 7.0E+01
   137    243  2.6E-02    140  8.4E-02  1.6E+00  3.3511569E+00    281 7.0E+01
   138    229  3.5E-03    141  8.4E-02  1.6E+00  3.3426025E+00    267 7.0E+01
   139    142  2.1E-04    142  8.4E-02  1.6E+00  3.3420890E+00    242 7.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   140    112  3.2E-02    143  8.1E-02  1.6E+00  3.2690808E+00    236 7.0E+01
   141    210  2.9E-02    144  7.9E-02  1.4E+00  3.2160503E+00    217 7.0E+01
   142    231  3.7E-05    145  7.9E-02  1.4E+00  3.2159640E+00    256 7.0E+01
   143    153  3.6E-05    146  7.9E-02  1.4E+00  3.2158773E+00    265 7.0E+01
   144    266  4.4E-05    147  7.9E-02  1.4E+00  3.2157700E+00    259 7.0E+01
   145    117  8.7E-05    148  7.9E-02  1.2E+00  3.2155659E+00    232 7.0E+01
   146    126  6.5E-05    149  7.9E-02  1.4E+00  3.2154107E+00    251 7.0E+01
   147    169  9.7E-05    150  7.9E-02  1.4E+00  3.2151924E+00    261 7.0E+01
   148    111  1.1E-04    151  7.9E-02  1.4E+00  3.2149453E+00    234 7.0E+01
   149    175  8.3E-05    152  7.9E-02  1.4E+00  3.2147455E+00    246 7.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   150    119  1.1E-04    153  7.9E-02  1.4E+00  3.2145046E+00    234 7.0E+01
   151    159  6.9E-05    154  7.9E-02  1.4E+00  3.2143416E+00    243 7.0E+01
   152     78  9.9E-05    155  7.9E-02  1.4E+00  3.2141155E+00    232 7.0E+01
   153    111  8.6E-05    156  7.9E-02  1.4E+00  3.2139178E+00    228 7.0E+01
   154    161  8.0E-05    157  7.9E-02  1.4E+00  3.2137248E+00    242 7.0E+01
   155     14  1.1E-04    159  7.9E-02  1.4E+00  3.2134628E+00    241 7.0E+01  M
   156     72  1.2E-04    161  7.9E-02  1.4E+00  3.2132033E+00    238 7.0E+01  M
   157    140  3.2E-02    162  7.6E-02  1.3E+00  3.1373273E+00    243 7.0E+01
   158    169  5.1E-02    163  7.3E-02  9.5E-01  3.0273880E+00    285 7.0E+01
   159    203  3.6E-03    164  7.3E-02  9.4E-01  3.0201495E+00    268 7.0E+01

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   160    121  3.0E-02    165  7.1E-02  8.4E-01  2.9630328E+00    259 7.0E+01
   161    173  7.0E-05    166  7.1E-02  8.4E-01  2.9629224E+00    236 7.0E+01
   162     81  6.9E-05    167  7.1E-02  8.4E-01  2.9628128E+00    221 7.0E+01
   163    169  5.4E-05    168  7.1E-02  8.4E-01  2.9627219E+00    238 7.0E+01
   164    122  6.2E-05    169  7.1E-02  8.4E-01  2.9626206E+00    248 7.0E+01
   165    305  8.7E-05    170  7.1E-02  8.4E-01  2.9624621E+00    291 7.0E+01   R
   166    121  1.2E-02    171  7.0E-02  9.0E-01  6.5116555E+00    299 3.6E+02 s
   167     88  5.5E-02    172  6.6E-02  1.0E+00  6.1520500E+00    311 3.6E+02
   168     99  5.2E-02    173  6.2E-02  1.2E+00  3.6994462E+00    305 1.5E+02
   169    120  5.2E-02    174  5.9E-02  1.3E+00  3.5471957E+00    303 1.5E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   170     80  9.9E-02    175  5.3E-02  1.2E+00  3.2702812E+00    303 1.5E+02
   171     44  8.3E-02    176  4.8E-02  1.2E+00  3.0792581E+00    296 1.5E+02
   172     99  6.7E-02    177  4.5E-02  1.3E+00  2.9391658E+00    280 1.5E+02
   173     86  6.3E-02    178  4.2E-02  1.3E+00  2.8251660E+00    279 1.5E+02
   174    115  4.3E-02    179  4.0E-02  1.2E+00  2.7581359E+00    284 1.5E+02
   175    127  4.5E-02    180  3.9E-02  1.2E+00  2.6908301E+00    277 1.5E+02
   176    113  8.6E-02    181  3.6E-02  1.0E+00  2.5825361E+00    276 1.5E+02
   177     96  3.8E-02    182  3.5E-02  9.4E-01  2.5375659E+00    288 1.5E+02
   178     72  1.3E-01    183  3.1E-02  6.9E-01  2.3959003E+00    291 1.5E+02
   179     76  1.1E-01    184  2.8E-02  5.2E-01  2.3059499E+00    289 1.5E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   180     83  8.5E-02    185  2.6E-02  4.0E-01  2.2453374E+00    301 1.5E+02
   181    472  2.2E-01    186  2.1E-02  2.7E-01  2.1313418E+00    295 1.5E+02
   182    164  1.0E-02    187  2.1E-02  2.6E-01  2.1266225E+00    299 1.5E+02
   183    333  3.0E-03    188  2.1E-02  2.6E-01  2.1250519E+00    312 1.5E+02
   184    283  1.4E-03    189  2.1E-02  2.6E-01  2.1243291E+00    296 1.5E+02
   185     81  4.2E-02    190  2.0E-02  2.4E-01  2.1068181E+00    281 1.5E+02
   186    209  4.7E-02    191  2.0E-02  2.1E-01  2.0923419E+00    296 1.5E+02
   187      6  3.8E-04    193  2.0E-02  2.1E-01  2.0922710E+00    293 1.5E+02  M
   188     34  4.0E-04    195  2.0E-02  2.1E-01  2.0922008E+00    294 1.5E+02  M
   189     78  4.3E-04    196  2.0E-02  2.2E-01  2.0921140E+00    285 1.5E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   190    123  1.5E-05    197  2.0E-02  2.2E-01  2.0921109E+00    283 1.5E+02
   191    202  1.5E-05    198  2.0E-02  2.2E-01  2.0921075E+00    316 1.5E+02
   192    139  1.9E-04    199  2.0E-02  2.2E-01  2.0920685E+00    276 1.5E+02
   193    212  1.9E-05    200  2.0E-02  2.2E-01  2.0920640E+00    295 1.5E+02
   194    169  2.0E-05    201  2.0E-02  2.2E-01  2.0920594E+00    282 1.5E+02
   195    228  1.3E-05    202  2.0E-02  2.2E-01  2.0920561E+00    292 1.5E+02
   196      7  1.1E-04    204  2.0E-02  2.2E-01  2.0920302E+00    296 1.5E+02  M
   197     40  3.8E-04    206  2.0E-02  2.3E-01  2.0919386E+00    303 1.5E+02  M
   198    112  2.2E-04    207  2.0E-02  2.3E-01  2.0918859E+00    288 1.5E+02
   199    374  2.1E-02    208  1.9E-02  1.8E-01  2.0821098E+00    301 1.5E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   200    196  4.5E-03    209  1.9E-02  1.8E-01  2.0808137E+00    301 1.5E+02
   201    165  9.4E-02    210  1.8E-02  1.8E-01  2.0445413E+00    304 1.5E+02
   202    132  1.0E-02    211  1.8E-02  1.7E-01  2.0413705E+00    292 1.5E+02
   203    151  9.1E-02    212  1.7E-02  1.4E-01  2.0105793E+00    285 1.5E+02
   204    177  1.8E-02    213  1.7E-02  1.3E-01  2.0053635E+00    298 1.5E+02
   205    138  1.3E-05    214  1.7E-02  1.3E-01  2.0053597E+00    285 1.5E+02
   206    187  6.9E-06    215  1.7E-02  1.3E-01  2.0053576E+00    355 1.5E+02   R
   207     47  1.4E-01    216  1.4E-02  1.5E-01  2.0149059E+00    337 1.8E+02 s
   208     35  1.1E-01    217  1.3E-02  1.6E-01  1.9892453E+00    335 1.8E+02
   209     18  1.5E-01    218  1.1E-02  1.8E-01  1.9592408E+00    334 1.8E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   210     18  2.0E-01    219  8.8E-03  2.1E-01  1.9297589E+00    323 1.8E+02
   211     31  1.9E-01    220  7.3E-03  2.4E-01  1.9098171E+00    309 1.8E+02
   212     41  1.4E-01    221  6.4E-03  2.8E-01  1.8987303E+00    307 1.8E+02
   213     35  8.2E-02    222  6.0E-03  3.1E-01  1.8924822E+00    323 1.8E+02
   214     72  7.7E-02    223  5.6E-03  3.1E-01  1.8876075E+00    310 1.8E+02
   215     75  1.4E-02    224  5.5E-03  3.1E-01  1.8865938E+00    307 1.8E+02
   216     62  2.7E-02    225  5.4E-03  3.1E-01  1.8846057E+00    294 1.8E+02
   217     61  9.2E-02    226  5.2E-03  3.5E-01  1.8781367E+00    308 1.8E+02
   218     54  7.5E-02    227  5.1E-03  3.8E-01  1.8740249E+00    317 1.8E+02
   219     95  6.9E-06    228  5.1E-03  3.8E-01  1.8740245E+00    308 1.8E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   220     86  4.4E-06    229  5.1E-03  3.8E-01  1.8740241E+00    326 1.8E+02
   221     65  8.8E-06    230  5.1E-03  3.8E-01  1.8740236E+00    300 1.8E+02
   222     57  1.8E-06    231  5.1E-03  3.8E-01  1.8740234E+00    289 1.8E+02
   223     67  1.3E-06    232  5.1E-03  3.8E-01  1.8740233E+00    303 1.8E+02
   224     38  1.2E-06    233  5.1E-03  3.8E-01  1.8740232E+00    298 1.8E+02
   225     53  1.3E-06    234  5.1E-03  3.8E-01  1.8740230E+00    296 1.8E+02
   226     43  1.2E-06    235  5.1E-03  3.8E-01  1.8740229E+00    296 1.8E+02
   227     44  6.4E-03    236  5.1E-03  3.8E-01  1.8733300E+00    285 1.8E+02
   228     85  1.2E-06    237  5.1E-03  3.8E-01  1.8733299E+00    295 1.8E+02
   229     76  1.2E-06    238  5.1E-03  3.8E-01  1.8733297E+00    285 1.8E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   230     65  9.9E-03    239  5.1E-03  3.8E-01  1.8721635E+00    295 1.8E+02
   231     53  1.2E-06    240  5.1E-03  3.8E-01  1.8721633E+00    293 1.8E+02
   232     60  9.9E-03    241  5.1E-03  3.8E-01  1.8710041E+00    287 1.8E+02
   233     48  1.3E-06    242  5.1E-03  3.8E-01  1.8710039E+00    281 1.8E+02
   234     47  1.8E-06    243  5.1E-03  3.8E-01  1.8710037E+00    278 1.8E+02
   235     61  9.8E-03    244  5.1E-03  3.8E-01  1.8698277E+00    292 1.8E+02
   236     54  9.8E-03    245  5.1E-03  3.8E-01  1.8686899E+00    278 1.8E+02
   237     62  3.8E-02    246  5.0E-03  3.7E-01  1.8643370E+00    285 1.8E+02
   238     77  8.3E-03    247  5.0E-03  3.7E-01  1.8634124E+00    314 1.8E+02
   239     76  1.0E-02    248  4.9E-03  3.7E-01  1.8624424E+00    281 1.8E+02

 Major Minors     Step   nCon Feasible  Optimal  MeritFunction     nS Penalty
   240    105  5.2E-02    249  4.8E-03  3.6E-01  1.8576023E+00    329 1.8E+02
   241     88  6.6E-02    250  4.6E-03  3.6E-01  1.8535986E+00    311 1.8E+02
   242     66  3.9E-02    251  4.5E-03  3.5E-01  1.8503085E+00    304 1.8E+02
