,rho_0,xi,gamma,log10(zeta),num_stiff,material,eig_FEA,eig_CF,time
0,3.929143,0.991423,3.010392,-4.335950,1,metal,6.973900,6.628590,15.391575
0,3.183243,0.991423,3.010391,-4.335950,1,metal,7.351939,6.628590,14.573961
0,2.578916,0.991423,3.010392,-4.335950,1,metal,7.819338,6.628590,14.567915
0,2.088918,0.981087,3.010378,-4.335950,1,metal,8.887352,6.613532,33.366734
0,1.692580,0.972037,3.010403,-4.335950,2,metal,11.036743,6.600346,45.278222
0,1.371310,0.972037,3.010408,-4.335950,2,metal,14.673417,6.600347,29.777572
0,1.111001,0.972037,3.010396,-4.335950,2,metal,20.629567,6.600344,35.163664
0,0.453378,0.954134,2.865887,-4.335950,5,metal,87.469838,31.808029,118.300015
0,0.451774,0.947687,2.893157,-4.335950,6,metal,90.940277,32.021392,73.926988
0,0.451471,0.946195,2.942123,-4.335950,6,metal,91.715657,32.113957,59.366444
0,0.451084,0.944568,2.994785,-4.335950,6,metal,92.561611,32.221703,38.570409
0,0.387759,0.944081,3.010393,-4.335950,6,metal,116.743204,43.626469,27.367812
0,0.314097,0.950234,3.010593,-4.335950,6,metal,141.014645,66.580122,43.279902
0,0.254508,0.987733,1.106913,-4.335950,9,metal,164.799541,93.819783,99.965016
0,0.206192,0.932765,3.010392,-4.335950,9,metal,298.054724,153.897744,13.805613
0,0.167048,0.984631,1.216709,-4.335950,9,metal,334.704196,218.930392,29.554111
0,0.135336,0.932765,3.010410,-4.335950,9,metal,534.082454,357.230002,13.015595
0,7.388675,0.922380,4.535117,-1.712123,1,metal,7.511836,6.872126,19.503584
0,5.986277,0.922380,4.535113,-1.712123,1,metal,7.931397,6.872126,17.858185
0,4.849843,0.922380,4.535115,-1.712123,1,metal,8.006212,6.872126,15.649029
0,2.078244,0.930571,4.257696,-1.712123,1,metal,9.417544,6.825404,36.366321
0,3.183224,0.385006,4.535119,-1.712123,2,metal,6.724551,6.137217,78.766792
0,2.578918,0.777755,4.535117,-1.712123,2,metal,8.370731,6.675522,55.430850
0,2.089328,0.385005,4.535109,-1.712123,2,metal,5.927332,6.137212,52.806010
0,1.692639,0.777764,4.535048,-1.712123,2,metal,11.246612,6.675520,51.307213
0,1.371331,0.777757,4.535101,-1.712123,2,metal,13.236733,6.675522,50.592531
0,1.110973,0.600641,3.413268,-1.712123,3,metal,8.833386,6.160204,81.561131
0,0.900080,0.600627,3.413268,-1.712123,3,metal,10.414601,7.603818,67.663885
0,0.729213,0.598111,4.001869,-1.712123,3,metal,12.044180,11.856842,50.368075
0,7.388716,0.967083,6.639343,-4.144278,1,metal,7.359492,7.318024,15.396661
0,5.986182,0.923102,6.639376,-4.144278,1,metal,7.618389,7.263149,29.876221
0,4.849847,0.923099,6.639504,-4.144278,1,metal,7.760031,7.263167,29.719431
0,3.929148,0.923100,6.639487,-4.144278,1,metal,8.200724,7.263165,30.370617
0,3.183240,0.923100,6.639488,-4.144278,1,metal,8.801583,7.263165,28.587466
0,2.578947,0.923100,6.639493,-4.144278,1,metal,9.439385,7.263166,28.239156
0,2.089556,0.878964,6.639614,-4.144278,2,metal,11.385833,7.208048,44.528054
0,1.692542,0.878975,6.639296,-4.144278,2,metal,14.960467,7.208008,29.436574
0,1.371333,0.878969,6.639481,-4.144278,2,metal,20.968446,7.208031,27.521310
0,1.110989,0.833049,6.639363,-4.144278,3,metal,30.678406,7.150584,41.259996
0,0.900087,0.781622,6.639349,-4.144278,4,metal,42.220487,8.746718,40.310098
0,0.729214,0.715239,6.639466,-4.144278,5,metal,57.649539,13.169752,43.168046
0,0.590778,0.715233,6.639508,-4.144278,5,metal,79.614880,20.065026,28.950982
0,0.478623,0.587249,6.540182,-4.144278,6,metal,109.817153,29.790412,40.656327
0,0.387775,0.587671,6.159254,-4.144278,7,metal,147.268334,44.911806,46.841982
0,0.314147,0.588208,5.850364,-4.144278,8,metal,196.718152,67.830737,57.180642
0,0.206191,0.588219,5.850364,-4.144278,9,metal,275.557227,157.453012,22.829282
0,7.388903,0.585783,8.874908,-3.804057,2,metal,7.385171,7.214568,79.519106
0,5.986232,0.585740,8.874908,-3.804057,2,metal,7.629958,7.214517,42.465340
0,4.849743,0.585656,8.874908,-3.804057,2,metal,7.849275,7.214420,40.094353
0,3.929137,0.585715,8.874908,-3.804057,2,metal,8.554123,7.214488,38.728970
0,3.183226,0.585733,8.874908,-3.804057,2,metal,9.004277,7.214509,36.591133
0,2.578915,0.585737,8.874908,-3.804057,2,metal,10.026904,7.214514,34.637326
0,2.089353,0.585685,8.874908,-3.804057,2,metal,12.307236,7.214453,36.338322
0,1.677000,0.606342,8.863313,-3.804057,2,metal,16.773428,7.236745,34.598217
0,1.371320,0.586657,7.562911,-3.804057,3,metal,22.048262,7.004357,58.479153
0,1.110972,0.586602,7.562911,-3.804057,3,metal,30.930375,7.004290,45.209310
0,0.900087,0.606857,6.164324,-3.804057,5,metal,39.007220,8.367271,114.685374
0,0.729213,0.606856,6.164324,-3.804057,5,metal,52.070820,12.748062,58.641322
0,0.386833,0.694621,5.532849,-3.804057,6,metal,122.639651,45.240878,86.882581
0,0.376681,0.658683,5.654470,-3.804057,6,metal,126.175666,47.550758,58.468649
0,0.362604,0.610345,5.402429,-3.804057,7,metal,136.524570,50.447910,88.479910
0,0.314139,0.589921,5.138690,-3.804057,8,metal,166.003256,66.383395,89.296158
0,0.206189,0.589955,5.138690,-3.804057,9,metal,253.852860,154.090209,29.333320
0,0.167048,0.589906,5.138690,-3.804057,9,metal,288.024175,234.757448,42.647074
0,7.388915,0.585921,9.799661,-3.403018,1,metal,7.563702,7.352176,52.753227
0,5.985964,0.585943,9.799661,-3.403018,1,metal,7.827565,7.352201,45.886659
0,4.849844,0.585912,9.799661,-3.403018,1,metal,7.913444,7.352165,50.524053
0,3.929141,0.585911,9.799661,-3.403018,1,metal,8.521574,7.352165,48.965465
0,3.183246,0.588371,6.489688,-3.403018,3,metal,8.224334,6.816461,121.348472
0,0.431239,0.863504,3.747538,-3.403018,5,metal,80.485750,35.595363,141.660206
0,0.431187,0.863437,3.748444,-3.403018,5,metal,80.504143,35.604711,77.898498
0,0.431203,0.863267,3.750732,-3.403018,5,metal,80.513712,35.603458,71.462384
0,0.431140,0.863418,3.748691,-3.403018,5,metal,80.517821,35.612598,70.833423
0,0.430493,0.864055,3.740093,-3.403018,5,metal,80.628867,35.713825,77.308706
