rho_0,xi,gamma,zeta,lambda_star,pred_lam,pred_type,pred_lam_old,material,ply_angle,SR,AR,h,SHR,SAR,delta,n_stiff
0.16072336931661765,0.3600901124099951,0.03317052125446638,1421.9408401448986,41.62938169036874,40.74177188409804,global,39.70311010683615,solvay5320,0.0,199.99999999999991,0.31676392175331586,1.0,0.010000000000000004,1.0,0.004013575284981633,1
0.20227019162858206,0.3600901124099951,0.06439643267960644,1421.9408401448986,27.47753708788952,26.77704041701493,global,25.59109309147928,solvay5320,0.0,199.99999999999991,0.3986470631277377,1.0,0.010000000000000004,1.0,0.00635677923761482,1
0.25455682391069173,0.3600901124099951,0.1284421064547447,1421.9408401448986,18.99079426117326,18.19943072121405,global,16.830143544803835,solvay5320,0.0,199.99999999999991,0.5016969106227039,1.0,0.010000000000000004,1.0,0.010067991605134621,1
0.3203594957703218,0.3600901124099951,0.2630025822517406,1421.9408401448986,14.09883738001856,13.12915400165089,global,11.532976426029602,solvay5320,0.0,199.99999999999991,0.6313850355589192,1.0,0.010000000000000004,1.0,0.015945882525109516,1
0.4031720892550946,0.3600901124099951,0.5517828518741821,1421.9408401448986,11.462008816122191,10.429356619029416,global,8.554955151324465,solvay5320,0.0,199.99999999999991,0.7945974047018521,1.0,0.010000000000000004,1.0,0.02525540142235677,1
0.5073916512556096,0.3600901124099951,1.182328267445355,1421.9408401448986,10.884158368749882,9.454455937472634,global,7.2437908654098875,solvay5320,0.0,199.99999999999991,1.0,1.0,0.010000000000000004,1.0,0.04000000000000001,1
0.6385518606696083,0.3600901124099951,2.575817396670169,1421.9408401448986,12.224597495966554,9.89759329559988,global,7.289811153031826,solvay5320,0.0,199.99999999999991,1.2584989506418267,1.0,0.010000000000000004,1.0,0.06335278435066319,1
0.8036168465830881,0.3600901124099951,5.672141533000053,1421.9408401448986,15.878454199398357,11.697570784165556,global,8.63806743875198,solvay5320,0.0,199.99999999999991,1.583819608766579,1.0,0.010000000000000004,1.0,0.10033938212454084,1
1.01135095814291,0.3600901124099951,12.532302888469525,1421.9408401448986,17.835707642567023,14.973257288635924,local,11.431039868422456,solvay5320,0.0,199.99999999999991,1.9932353156386882,1.0,0.010000000000000004,1.0,0.15891948094037048,1
1.2727841195534584,0.3600901124099951,27.536279582530934,1421.9408401448986,18.66636548681675,19.955370869359793,local,15.951105482631762,solvay5320,0.0,199.99999999999991,2.508484553113519,1.0,0.010000000000000004,1.0,0.2516997901283654,1
1.6017974788516083,0.3600901124099951,59.57549970743026,1421.9408401448986,23.20033712488539,26.89516380353084,local,22.537003847054486,solvay5320,0.0,199.99999999999991,3.156925177794595,1.0,0.010000000000000004,1.0,0.3986470631277375,1
2.0158604462754726,0.3600901124099951,125.76244353990786,1421.9408401448986,25.213117901210925,35.97777353830863,local,31.48903595104357,solvay5320,0.0,199.99999999999991,3.9729870235092597,1.0,0.010000000000000004,1.0,0.6313850355589188,1
0.16072336931661765,0.3600901124099951,0.06583807428536044,1421.9408401448986,45.596553834383045,42.006387523776525,global,0.49183721490019683,solvay5320,0.0,199.99999999999991,0.31676392175331586,1.0,0.010000000000000004,1.0,0.008027150569963266,3
0.20227019162858206,0.3600901124099951,0.1272761460153586,1421.9408401448986,33.04983727280037,28.313944559953615,global,0.7785352999065734,solvay5320,0.0,199.99999999999991,0.3986470631277377,1.0,0.010000000000000004,1.0,0.01271355847522964,3
