rho_0,xi,gamma,zeta,lambda_star,pred_lam,pred_type,pred_lam_old,material,ply_angle,SR,AR,h,SHR,SAR,delta,n_stiff,elem_list,nelem
0.16072336931661765,0.3600901124099951,0.03317052125446638,1421.9408401448986,41.449834877581296,40.74177188409804,global,39.70311010683615,solvay5320,0.0,199.99999999999991,0.31676392175331586,1.0,0.010000000000000004,1.0,0.004013575284981633,1,"[36, 57, 100]",7704
0.20227019162858206,0.3600901124099951,0.06439643267960644,1421.9408401448986,27.33748289923358,26.77704041701493,global,25.59109309147928,solvay5320,0.0,199.99999999999991,0.3986470631277377,1.0,0.010000000000000004,1.0,0.00635677923761482,1,"[40, 51, 100]",8080
0.25455682391069173,0.3600901124099951,0.1284421064547447,1421.9408401448986,18.94409299578564,18.19943072121405,global,16.830143544803835,solvay5320,0.0,199.99999999999991,0.5016969106227039,1.0,0.010000000000000004,1.0,0.010067991605134621,1,"[45, 45, 100]",8550
0.3203594957703218,0.3600901124099951,0.2630025822517406,1421.9408401448986,14.09104973780024,13.12915400165089,global,11.532976426029602,solvay5320,0.0,199.99999999999991,0.6313850355589192,1.0,0.010000000000000004,1.0,0.015945882525109516,1,"[51, 41, 100]",9282
0.4031720892550946,0.3600901124099951,0.5517828518741821,1421.9408401448986,11.457399021326621,10.429356619029416,global,8.554955151324465,solvay5320,0.0,199.99999999999991,0.7945974047018521,1.0,0.010000000000000004,1.0,0.02525540142235677,1,"[57, 36, 100]",9804
0.5073916512556096,0.3600901124099951,1.182328267445355,1421.9408401448986,10.883518582013966,9.454455937472634,global,7.2437908654098875,solvay5320,0.0,199.99999999999991,1.0,1.0,0.010000000000000004,1.0,0.04000000000000001,1,"[63, 32, 100]",10332
0.6385518606696083,0.3600901124099951,2.575817396670169,1421.9408401448986,12.24112225398178,9.89759329559988,global,7.289811153031826,solvay5320,0.0,199.99999999999991,1.2584989506418267,1.0,0.010000000000000004,1.0,0.06335278435066319,1,"[71, 29, 100]",11218
0.8036168465830881,0.3600901124099951,5.672141533000053,1421.9408401448986,15.862941363333936,11.697570784165556,global,8.63806743875198,solvay5320,0.0,199.99999999999991,1.583819608766579,1.0,0.010000000000000004,1.0,0.10033938212454084,1,"[79, 25, 100]",11850
1.01135095814291,0.3600901124099951,12.532302888469525,1421.9408401448986,17.81801200248898,14.973257288635924,local,11.431039868422456,solvay5320,0.0,199.99999999999991,1.9932353156386882,1.0,0.010000000000000004,1.0,0.15891948094037048,1,"[89, 23, 100]",12994
1.2727841195534584,0.3600901124099951,27.536279582530934,1421.9408401448986,18.663869745710056,19.955370869359793,local,15.951105482631762,solvay5320,0.0,199.99999999999991,2.508484553113519,1.0,0.010000000000000004,1.0,0.2516997901283654,1,"[99, 20, 100]",13860
