rho_0,xi,gamma,zeta,lambda_star,pred_lam,pred_type,pred_lam_old,material,ply_angle,SR,AR,h,SHR,SAR,delta,n_stiff,elem_list,nelem
0.09950913895680179,0.3729111018647652,0.07550721694572518,1462.6712799826444,114.39840175145856,109.3701204787705,global,,solvayMTM45,0.0,199.99999999999991,0.19999999999999998,1.0,1.2,3.0,0.004800000000000001,1,"[35, 88, 10]",6510
0.12950776987032178,0.3729111018647652,0.07550721694572518,1462.6712799826444,74.27287267222273,64.88675301169563,global,,solvayMTM45,0.0,199.99999999999991,0.2602932177446391,1.0,1.2,3.0,0.004800000000000001,1,"[40, 77, 10]",6560
0.1685499707123914,0.3729111018647652,0.07550721694572518,1462.6712799826444,38.799551588562906,38.632083043369555,global,,solvayMTM45,0.0,199.99999999999991,0.3387627960192905,1.0,1.2,3.0,0.004800000000000001,1,"[45, 67, 10]",6480
0.21936207113746514,0.3729111018647652,0.07550721694572518,1462.6712799826444,23.907181390523075,23.144596829706416,global,,solvayMTM45,0.0,199.99999999999991,0.44088829114015965,1.0,1.2,3.0,0.004800000000000001,1,"[52, 59, 10]",6656
0.28549229673749615,0.3729111018647652,0.07550721694572518,1462.6712799826444,15.540179226057793,14.022788224028238,global,,solvayMTM45,0.0,199.99999999999991,0.5738011598340371,1.0,1.2,3.0,0.004800000000000001,1,"[59, 52, 10]",6726
0.3715585427955511,0.3729111018647652,0.07550721694572518,1462.6712799826444,10.16696480460989,8.67426126918532,global,,solvayMTM45,0.0,199.99999999999991,0.7467827511940375,1.0,1.2,3.0,0.004800000000000001,1,"[67, 45, 10]",6700
0.4835708434238158,0.3729111018647652,0.07550721694572518,1462.6712799826444,6.880898174686776,5.57897753268852,global,,solvayMTM45,0.0,199.99999999999991,0.9719124263224511,1.0,1.2,3.0,0.004800000000000001,1,"[77, 40, 10]",6930
0.6293510542113704,0.3729111018647652,0.07550721694572518,1462.6712799826444,4.891759328918438,3.8572648583241222,global,,solvayMTM45,0.0,199.99999999999991,1.2649110640673513,1.0,1.2,3.0,0.004800000000000001,1,"[87, 35, 10]",6960
0.819079054958292,0.3729111018647652,0.07550721694572518,1462.6712799826444,3.7987210278362755,3.0198166656386327,global,,solvayMTM45,0.0,199.99999999999991,1.6462388551344311,1.0,1.2,3.0,0.004800000000000001,1,"[100, 31, 10]",7200
1.0660036140116598,0.3729111018647652,0.07550721694572518,1462.6712799826444,3.380848104408534,2.828632202490772,global,,solvayMTM45,0.0,199.99999999999991,2.1425240438959596,1.0,1.2,3.0,0.004800000000000001,1,"[114, 27, 10]",7296
1.3873675540925459,0.3729111018647652,0.07550721694572518,1462.6712799826444,3.572610169330854,3.2293773065713425,global,,solvayMTM45,0.0,199.99999999999991,2.7884223874046787,1.0,1.2,3.0,0.004800000000000001,1,"[129, 24, 10]",7482
1.8056118242462915,0.3729111018647652,0.07550721694572518,1462.6712799826444,3.170794167473477,2.880426735574262,global,,solvayMTM45,0.0,199.99999999999991,3.6290371782437614,1.0,1.2,3.0,0.004800000000000001,1,"[148, 21, 10]",7696
2.3499425586541753,0.3729111018647652,0.07550721694572518,1462.6712799826444,3.0818861569862364,2.9054180424462075,global,,solvayMTM45,0.0,199.99999999999991,4.723068822199971,1.0,1.2,3.0,0.004800000000000001,1,"[168, 18, 10]",7728
3.0583705505358285,0.3729111018647652,0.07550721694572518,1462.6712799826444,2.948860234413944,2.81996025098423,global,,solvayMTM45,0.0,199.99999999999991,6.146913906799066,1.0,1.2,3.0,0.004800000000000001,1,"[192, 16, 10]",8064
3.9803655582720703,0.3729111018647652,0.07550721694572518,1462.6712799826444,2.892016502120131,2.8221730393849898,global,,solvayMTM45,0.0,199.99999999999991,7.999999999999998,1.0,1.2,3.0,0.004800000000000001,1,"[219, 14, 10]",8322
0.09950913895680179,0.3729111018647652,0.14970861380961173,1462.6712799826444,114.2556451857048,116.86364519999252,global,,solvayMTM45,0.0,199.99999999999991,0.19999999999999998,1.0,1.2,3.0,0.009600000000000003,3,"[35, 44, 10]",7210
0.12950776987032178,0.3729111018647652,0.14970861380961173,1462.6712799826444,73.16081356176495,69.31080713409418,global,,solvayMTM45,0.0,199.99999999999991,0.2602932177446391,1.0,1.2,3.0,0.009600000000000003,3,"[40, 39, 10]",7440
0.1685499707123914,0.3729111018647652,0.14970861380961173,1462.6712799826444,47.01323021224639,41.24397205502278,global,,solvayMTM45,0.0,199.99999999999991,0.3387627960192905,1.0,1.2,3.0,0.009600000000000003,3,"[45, 34, 10]",7470
0.21936207113746514,0.3729111018647652,0.14970861380961173,1462.6712799826444,30.695438510529073,24.686613274454672,global,,solvayMTM45,0.0,199.99999999999991,0.44088829114015965,1.0,1.2,3.0,0.009600000000000003,3,"[51, 29, 10]",7446
0.28549229673749615,0.3729111018647652,0.14970861380961173,1462.6712799826444,19.790079065163347,14.933169448217006,global,,solvayMTM45,0.0,199.99999999999991,0.5738011598340371,1.0,1.2,3.0,0.009600000000000003,3,"[59, 26, 10]",7906
0.3715585427955511,0.3729111018647652,0.14970861380961173,1462.6712799826444,13.012014184938161,9.211735416220597,global,,solvayMTM45,0.0,199.99999999999991,0.7467827511940375,1.0,1.2,3.0,0.009600000000000003,3,"[67, 23, 10]",8174
0.4835708434238158,0.3729111018647652,0.14970861380961173,1462.6712799826444,8.814973527693178,5.896293456013625,global,,solvayMTM45,0.0,199.99999999999991,0.9719124263224511,1.0,1.2,3.0,0.009600000000000003,3,"[76, 20, 10]",8360
