,rho0,gamma,eig_CF,eig_FEA
0,0.2,10.0,276.8786481822843,
0,0.21662214548720823,10.0,236.3014267111883,
0,0.23462576957740608,10.0,201.71476039183185,
0,0.25412568796222523,10.0,172.23495530323672,
0,0.2752462587489502,10.0,147.10879850756425,
0,0.2981221755376242,10.0,125.69431335945441,
0,0.3228993264113713,10.0,107.44435691741785,
0,0.3497357243180281,10.0,91.89264036896701,
0,0.3788025147764701,10.0,78.6418152894874,
0,0.41028506733414427,10.0,67.35332133718254,
0,0.4443841577364301,10.0,57.738735991346026,
0,0.4813172483469572,10.0,49.55240531862675,
0,0.5213198749845864,10.0,42.58516748238491,
0,0.5646471490214214,10.0,36.659008629968405,
0,0.6115753843212784,10.0,31.622514615119876,
0,0.6624038593941964,10.0,27.34700234641688,
0,0.7174567260048892,10.0,23.723231917184556,
0,0.7770850764070358,10.0,20.65861551136203,
0,0.8416691823869162,10.0,18.074851772497336,
0,0.9116209203955907,10.0,15.905925193683972,
0,0.9873863982355817,10.0,14.096419412585986,29.573765693897403
0,1.0694488000533935,10.0,12.60010131601564,29.002771015416155
0,1.1583314677814325,10.0,11.3787397777471,29.082386389453337
0,1.2546012386808043,10.0,10.401128848160486,28.21872634993503
0,1.358872060269724,10.0,9.642290438081913,17.74992320054321
0,1.4718089056912529,10.0,9.082836125285557,17.146581809508373
0,1.5941320144900963,10.0,8.708471777729054,16.42236711730247
0,1.72662148584345,10.0,8.509632336580218,15.603668479145467
0,1.8701222535385973,10.0,8.481237427692687,14.776093291174893
0,2.025549474424518,10.0,8.622561557371323,14.016837235645406
0,2.193894364701632,10.0,8.937215575911925,13.372233247061715
0,2.3762305212698154,10.0,9.433238935306145,12.886942488986543
0,2.5737207684482724,10.0,10.123305098308355,12.558948788499126
0,2.787624573731255,10.0,9.443546542512308,12.386662210403449
0,3.019306079872643,10.0,8.944268064171856,12.320873554298405
0,3.2702428045229213,10.0,8.626539118698071,11.72866761564894
0,3.5420350628993003,10.0,8.482241689308532,11.091720706140897
0,3.836416173580824,10.0,8.507688957505593,10.610866773870622
0,4.155263512514519,10.0,8.703531104373777,10.284596176980743
0,4.500610485728042,10.0,8.97682135920663,10.102385303568589
0,4.874659497103173,10.0,8.645166748318841,10.041200174584098
0,5.279795993910424,10.0,8.487419591928154,9.86252077637603
0,5.718603679678214,10.0,8.499549429223988,9.584770084041091
0,6.193880991414692,10.0,8.681866179160924,9.426506842035254
0,6.708658946263436,10.0,8.562110302393977,9.372778090176022
0,7.266220471407695,10.0,8.471982786939776,9.280241365534309
0,7.870121340497041,10.0,8.55133785275186,9.142912301316734
0,8.52421285011566,10.0,8.529772407084065,9.098863383853082
0,9.232666380908421,10.0,8.474437632446199,9.044438212151718
0,10.0,10.0,8.57642593849958,8.974304441936841
0,0.2,5.0,151.98838669198435,
0,0.21662214548720823,5.0,129.8585045978863,
0,0.23462576957740608,5.0,110.99674301531554,
0,0.25412568796222523,5.0,94.92118142913586,
0,0.2752462587489502,5.0,81.22108710440071,
0,0.2981221755376242,5.0,69.54642081038986,
0,0.3228993264113713,5.0,59.5988932717446,
0,0.3497357243180281,5.0,51.124343837840065,
0,0.3788025147764701,5.0,43.906246644384325,
0,0.41028506733414427,5.0,37.760178348809525,
0,0.4443841577364301,5.0,32.52910608935996,
0,0.4813172483469572,5.0,28.07937527460447,
0,0.5213198749845864,5.0,24.297294690863104,
0,0.5646471490214214,5.0,21.08623167658808,
0,0.6115753843212784,5.0,18.3641431450189,
0,0.6624038593941964,5.0,16.061479372412208,
0,0.7174567260048892,5.0,14.119406993357146,
0,0.7770850764070358,5.0,12.488305800470162,
0,0.8416691823869162,5.0,11.126500941501936,
0,0.9116209203955907,5.0,9.999198121323877,19.895240622117814
0,0.9873863982355817,5.0,9.077594603063481,18.550202443857856
0,1.0694488000533935,5.0,8.338143294349397,17.23219653671866
0,1.1583314677814325,5.0,7.76195111597194,15.97498984721225
0,1.2546012386808043,5.0,7.3342962811984584,14.792540263841714
0,1.358872060269724,5.0,7.044252152165783,13.696249691930126
0,1.4718089056912529,5.0,6.884408062830696,12.705223400282524
0,1.5941320144900963,5.0,6.850679975467674,11.848526739060217
0,1.72662148584345,5.0,6.942206132962233,11.133639280492675
0,1.8701222535385973,5.0,7.16132504080213,10.567380777222624
0,2.025549474424518,5.0,7.51363521620337,10.146160644953666
0,2.193894364701632,5.0,8.008138230969125,9.870419212752456
0,2.3762305212698154,5.0,7.610446641589029,9.71550808253236
0,2.5737207684482724,5.0,7.227563637902948,9.651225597324492
0,2.787624573731255,5.0,6.979564306739951,9.228382808077837
0,3.019306079872643,5.0,6.8601122322301,8.731992974726442
0,3.2702428045229213,5.0,6.866155397994744,8.359409527834787
0,3.5420350628993003,5.0,6.997848207722424,8.111782577404748
