,log(rho0),log(1+gamma),log(N11-CF),log(N11-FEA)
0,-1.2039728043259361,0.009950330853168092,2.588682577315588,2.4801290162294998
0,-0.891371613574821,0.009950330853168092,2.1009318762881475,2.036436606783654
0,-0.5787704228237057,0.009950330853168092,1.7098581770492007,1.6371469800919587
0,-0.2661692320725904,0.009950330853168092,1.4602808656766049,1.3762746266173822
0,0.0464319586785247,0.009950330853168092,1.390720322425173,1.2691997247725604
0,0.3590331494296399,0.009950330853168092,1.5002704870617096,1.3803198802311283
0,0.6716343401807553,0.009950330853168092,1.3893624352251905,1.3395281501397043
0,0.9842355309318704,0.009950330853168092,1.4024450038410896,1.395959921848889
0,1.2968367216829857,0.009950330853168092,1.3972479886682168,1.402133790225803
0,1.6094379124341003,0.009950330853168092,1.3887912413184778,1.394299613090672
0,-1.2039728043259361,0.02744549701927742,2.6034512011971302,2.4869103601525873
0,-0.891371613574821,0.02744549701927742,2.1138160234253154,2.04540112066945
0,-0.5787704228237057,0.02744549701927742,1.7200665618819222,1.6472872527068343
0,-0.2661692320725904,0.02744549701927742,1.4673037876949806,1.3855359971650274
0,0.0464319586785247,0.02744549701927742,1.3947554294248743,1.2753887786458462
0,0.3590331494296399,0.02744549701927742,1.507997534703383,1.3826383924724788
0,0.6716343401807553,0.02744549701927742,1.3939897834675752,1.365827138735173
0,0.9842355309318704,0.02744549701927742,1.4079419575447096,1.3958888032238521
0,1.2968367216829857,0.02744549701927742,1.4025055780786115,1.401574187305375
0,1.6094379124341003,0.02744549701927742,1.3932266755132705,1.403307641470349
0,-1.2039728043259361,0.07457520494672595,2.6434337456828936,2.5147414539422024
0,-0.891371613574821,0.07457520494672595,2.148817211588746,2.079561408927731
0,-0.5787704228237057,0.07457520494672595,1.7479355318057548,1.684554470866825
0,-0.2661692320725904,0.07457520494672595,1.4865898483970201,1.4192952480243857
0,0.0464319586785247,0.07457520494672595,1.4058984175122573,1.2989322520631406
0,0.3590331494296399,0.07457520494672595,1.5208075955913338,1.4289973960038478
0,0.6716343401807553,0.07457520494672595,1.4067540985646907,1.3740645689320914
0,0.9842355309318704,0.07457520494672595,1.4230804280160017,1.419395528553052
0,1.2968367216829857,0.07457520494672595,1.4169913154004683,1.41810608024189
0,1.6094379124341003,0.07457520494672595,1.4054659972918873,1.414620284419462
0,-1.2039728043259361,0.19510900526236977,2.746945696850401,2.7826635584358645
0,-0.891371613574821,0.19510900526236977,2.2402180916629044,2.1824186963447287
0,-0.5787704228237057,0.19510900526236977,1.8216286971565367,1.7932718404618682
0,-0.2661692320725904,0.19510900526236977,1.5383759306794464,1.5165667952423598
