,theta
0,0.29463415292059475
1,1.0267438809351834
2,0.08746650339467944
3,0.48466096307653356
4,1.0545896944649038
5,1.1208695945056195
6,0.6606359679565357
7,0.10385825034258041
8,1.7200477973124717
9,0.2720540795509361
10,0.09746296712376498
11,0.0972631230759857
12,0.09692913335000311
13,0.9778323682800333
