,log(1+xi),log(rho0),log(1+gamma),log(1+10^3*zeta),alpha
0,0.8172267179049517,0.7953533217625315,0.0,0.6078673453864462,-0.01929217294171343
1,0.6931471805599453,-1.0099444790321406,0.741236033138144,2.0971411187792315,-0.03145915043840914
2,0.6931471805599453,1.512423749787203,0.741236033138144,2.0971411187792315,-0.0949313225855879
3,0.8139100277331918,0.1674569525943836,0.0,1.7071429053887726,-0.010574019791757776
4,0.6931471805599453,0.930338773905816,0.1727634333557742,2.0971411187792315,0.08693468236573978
5,0.8664760052119581,1.5213969944495862,0.0,0.9843056196807084,0.026259072737478774
6,0.8172267179049517,1.165536615726056,0.0,0.6078673453864462,0.002248595342815032
7,0.9012843809893089,-1.6413664052606705,0.0,0.2076918290576972,0.09365954563813629
8,0.3743352541108471,1.2336241049263192,0.0,0.0620548704326,-0.014436910522922432
9,0.7454462376631255,0.0676295546521544,0.0,1.6403769974956126,0.0034858415250857084
10,0.6618768575665283,1.1388589297213296,0.0,2.3947105484645848,0.02363830006773914
11,0.6931471805599453,1.124367099199612,1.5165385793463784,2.0971411187792315,-0.01899299068226659
12,0.7566043005913613,1.0819963359335358,0.0,0.0477270320244694,-0.002080476073349714
13,0.8388132294134072,0.7972950339794117,0.0,0.0981241992849217,-0.007571792858584551
14,0.7440142295306753,0.3797122513967446,0.0,0.0517680163616311,-0.008810778782653966
15,0.893012276284299,0.6242751777548406,0.0,1.2109861122082886,0.010269439420722667
16,0.893012276284299,0.562239786835388,0.0,1.2109861122082886,0.0038784400789561822
17,0.822627777676554,0.8624109942673377,0.0,1.964863050178557,-0.006210878600243853
18,0.893012276284299,0.9324230807989126,0.0,1.2109861122082886,-0.002125267984784364
19,0.4348168218382746,-0.5131275353191251,0.0,0.8944348305498832,-0.022814978996139768
20,0.3840574257115016,1.928593988966891,0.0,2.4073943777475253,-0.05859688797260203
21,0.3813060219926301,-2.209872127556366,0.0,2.5299388826120826,0.23754722969570194
22,0.4341102558765583,0.7892318724943805,0.0,4.864938674239883,0.10144439551884674
23,0.6931471805599453,-0.2338311778569579,0.0238486124993208,2.0971411187792315,0.07659799224139843
24,0.7204741299015665,1.0422000961279496,0.0,3.425569779441876,0.009765272061307043
25,0.6168767415475583,-1.410951988738312,0.0,0.5871140906859008,0.009369910382147057
26,0.3743352541108471,0.37560228117614,0.0,0.0620548704326,-0.0006662428130140367
27,0.4324401727845692,1.9811331571683783,0.0,0.6016509498198112,0.025173245649860645
28,0.3813060219926301,0.1739384053602657,0.0,2.5299388826120826,0.017741635478668586
29,0.3264328196669955,0.5737098469372643,0.0,1.710787061177789,-0.0047123589856824365
30,0.3538371925844236,0.0134689933842425,0.0,2.277210737228858,-0.00029194813879758496
31,0.2818648077966496,-0.9186348386025772,0.0,1.2809172498002015,0.03961997912389341
32,0.6931471805599453,1.512423749787203,3.0780757462555206,2.0971411187792315,0.014241417456324035
33,0.3393760252976035,0.901525377787194,0.0,4.87795192671444,0.13259347736500576
34,0.6931471805599453,0.6392962859651224,3.0780757462555206,2.0971411187792315,0.030242623097264408
35,0.6931471805599453,-1.1069586416790385,1.0907719627522066,2.0971411187792315,-0.11273565810505715
36,0.5169815719742399,0.1933470103120552,0.0,2.47783289444266,-0.052797884045609894
37,0.7454462376631255,1.383880072039119,0.0,1.6403769974956126,0.011896821721285521
38,0.3103622029525552,-0.2334415720634096,0.0,2.609634428064008,-0.004244675795507713
39,0.4359186333320149,1.8672672239960704,0.0,0.4016923021466259,0.033822696596738075
40,0.4359186333320149,1.4569359262367334,0.0,0.4016923021466259,-0.019172693685527098
41,0.8919306948044532,1.5168147082022982,0.0,1.353048670954431,0.03022730686827707
42,0.3659348261424612,1.6210870013742806,0.0,0.0640032486921449,-0.009772661451954564
43,0.8828797400271784,1.6011833966246107,0.0,1.8329228788620788,0.012359120684781217
44,0.8605298860361777,0.8923678627333661,0.0,1.6985057105952348,-0.02354668655543043
45,0.3502011053059022,0.7743522979792051,0.0,2.911756387852352,0.022713337615648255
46,0.4233190507913653,0.6747727316043162,0.0,1.504075405457578,-0.03510518376966632
47,0.5339734705837068,1.2592863081837318,0.0,2.8730287606927583,0.04905100318473946
48,0.3743352541108471,0.7491157894777023,0.0,0.0620548704326,-0.04844619625742536
49,0.8382899260200787,0.4531235266132489,0.0,0.0694797711705642,-0.014269214011591104
50,0.6168767415475583,1.2225956850659772,0.0,0.5871140906859008,0.0048333030435063346
51,0.3103622029525552,0.041787039317085,0.0,2.609634428064008,0.011167972721118876
52,0.7614145762326211,-0.2426127243412522,0.0,0.6476778900406569,-0.0031171675730757562
53,0.5187673506439388,1.103238427092206,0.0,1.1584837050143342,-0.013073369710296668
54,0.3974126416762065,1.811507068423504,0.0,0.9008204693509722,0.00924499035639205
55,0.965282145752901,1.507141874303868,0.0,0.2191131036129124,0.03531509704565195
56,0.8388132294134072,1.014359539217239,0.0,0.0981241992849217,-0.0007817753294674964
57,0.5495226191818618,1.67379759378711,0.0,2.6548599359652814,-0.04836451809952654
58,0.5135084865411673,-0.2648480839029334,0.0,1.3740698054813447,-0.01940726851060854
59,0.5172054577501756,0.9293272689635772,0.0,0.530861783277399,-0.024060850088992114
60,0.6931471805599453,-0.5248736657976515,0.0178329523270134,2.0971411187792315,0.06749758101907252
61,0.4965446331877741,0.7093706983284913,0.0,0.2755381607940015,-0.026067103203285966
62,0.8828797400271784,1.0000186057763156,0.0,1.8329228788620788,-0.03424150656989023
63,0.8388132294134072,1.4502513339561118,0.0,0.0981241992849217,0.01719442892858605
64,0.6931471805599453,-0.718901991091447,0.0238486124993208,2.0971411187792315,0.1380498109391957
65,0.6005221693824834,1.398350269972553,0.0,0.1200002023664625,-0.011080965021553816
66,0.6931471805599453,1.2213812618465096,2.001350960598516,2.0971411187792315,-0.010225774791895688
67,0.8828797400271784,-1.540977510662728,0.0,1.8329228788620788,-0.1317350071821505
