Monte Carlo #data training 3000 / 4893 data points
func_val=12843.68483600702, avg_rel_err=0.0712805138910365, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684645073054, avg_rel_err=0.0712805144944997, theta=[0.10000060251626516, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684832934518, avg_rel_err=0.07128051388980164, theta=[0.1, 1.0000010954841185, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684528536947, avg_rel_err=0.07128051122189302, theta=[0.1, 1.0, 5.477420592293902e-07, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.680588525722, avg_rel_err=0.07128046639012982, theta=[0.1, 1.0, 0.0, 5.477420592293902e-07, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684830492475, avg_rel_err=0.07128051392917396, theta=[0.1, 1.0, 0.0, 0.0, 1.0000010954841185, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684658504964, avg_rel_err=0.07128051427798116, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.10000060251626516, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.68431446791, avg_rel_err=0.07128050720499829, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05000057512916219, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684875074012, avg_rel_err=0.07128051314048621, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2000006572904711, 1.0, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684174390568, avg_rel_err=0.07128050294017504, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0000010954841185, 0.1, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684820633249, avg_rel_err=0.0712805134665218, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.10000060251626516, 0.01, 0.02, 0.01, 0.1]
func_val=12843.684730846167, avg_rel_err=0.0712805194226372, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.010000553219479822, 0.02, 0.01, 0.1]
func_val=12843.684821680828, avg_rel_err=0.07128051391150947, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.020000558696900414, 0.01, 0.1]
func_val=12843.684808314774, avg_rel_err=0.07128051389073155, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.010000553219479822, 0.1]
func_val=12843.628842969703, avg_rel_err=0.07128051933767347, theta=[0.1, 1.0, 0.0, 0.0, 1.0, 0.1, 0.05, 0.2, 1.0, 0.1, 0.01, 0.02, 0.01, 0.10000060251626516]
func_val=5492.053961792484, avg_rel_err=0.0522672638915311, theta=[0.16896551724137931, 1.0096713729778035, 0.1724137931034483, 0.1724137931034483, 1.0173582355030217, 1.1, 0.3775862068965517, 0.1482758620689655, 1.3448275862068966, 0.18798601230486753, 0.0410344827586207, 0.04758620689655173, 0.0410344827586207, 0.41034482758620694]
func_val=5492.053946549941, avg_rel_err=0.052267265069021955, theta=[0.1689661575329589, 1.0096713729778035, 0.1724137931034483, 0.1724137931034483, 1.0173582355030217, 1.1, 0.3775862068965517, 0.1482758620689655, 1.3448275862068966, 0.18798601230486753, 0.0410344827586207, 0.04758620689655173, 0.0410344827586207, 0.41034482758620694]
func_val=5492.053960170275, avg_rel_err=0.05226726388697913, theta=[0.16896551724137931, 1.0096724737593397, 0.1724137931034483, 0.1724137931034483, 1.0173582355030217, 1.1, 0.3775862068965517, 0.1482758620689655, 1.3448275862068966, 0.18798601230486753, 0.0410344827586207, 0.04758620689655173, 0.0410344827586207, 0.41034482758620694]
func_val=5492.053968576497, avg_rel_err=0.05226726235518304, theta=[0.16896551724137931, 1.0096713729778035, 0.1724144352837936, 0.1724137931034483, 1.0173582355030217, 1.1, 0.3775862068965517, 0.1482758620689655, 1.3448275862068966, 0.18798601230486753, 0.0410344827586207, 0.04758620689655173, 0.0410344827586207, 0.41034482758620694]
func_val=5492.053855769687, avg_rel_err=0.05226723252695368, theta=[0.16896551724137931, 1.0096713729778035, 0.1724137931034483, 0.1724144352837936, 1.0173582355030217, 1.1, 0.3775862068965517, 0.1482758620689655, 1.3448275862068966, 0.18798601230486753, 0.0410344827586207, 0.04758620689655173, 0.0410344827586207, 0.41034482758620694]
func_val=5492.05395802939, avg_rel_err=0.052267264189900714, theta=[0.16896551724137931, 1.0096713729778035, 0.1724137931034483, 0.1724137931034483, 1.017359340494976, 1.1, 0.3775862068965517, 0.1482758620689655, 1.3448275862068966, 0.18798601230486753, 0.0410344827586207, 0.04758620689655173, 0.0410344827586207, 0.41034482758620694]
