,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
460,0.993055,4.732869,-1.906890,1.105244,1,metal,5.370163,1.587163,43.947703
461,0.993056,3.834417,-1.906890,1.105134,1,metal,4.141608,1.590941,12.815645
462,0.993055,3.106466,-1.906890,1.105244,1,metal,4.550256,1.613780,18.849295
463,0.993056,2.516952,-1.906890,1.105136,1,metal,5.180176,1.589046,36.275036
464,0.993055,2.038799,-1.906890,1.105243,1,metal,5.603392,1.619619,53.719351
465,0.993055,1.651856,-1.906890,1.105265,1,metal,5.382965,1.702251,39.674705
466,0.993056,1.338239,-1.906890,1.105133,1,metal,5.579311,1.599886,53.486280
467,0.993055,1.084206,-1.906890,1.105266,1,metal,5.620328,1.599905,55.724671
468,0.984877,0.878378,-1.906890,1.105271,1,metal,6.254688,1.699267,95.146829
469,0.984877,0.711625,-1.906890,1.105269,1,metal,6.986027,1.892118,163.025871
470,0.984879,0.576564,-1.906890,1.105205,1,metal,8.034353,2.155826,357.282401
471,0.984893,0.460614,-1.906890,1.104578,1,metal,9.581031,2.493328,1197.154767
472,0.984879,0.378380,-1.906890,1.105198,1,metal,11.434920,2.822390,5500.143942
473,0.984878,0.306568,-1.906890,1.105258,1,metal,14.120451,3.197199,55450.815670
474,0.993056,0.248368,-1.906890,1.105133,1,metal,16.899678,3.588344,604002.797941
475,0.993056,0.201220,-1.906890,1.105133,1,metal,21.818135,3.989335,55328585.827748
476,0.995856,9.646140,-4.383532,1.905679,1,metal,6.033382,1.690245,76.948529
477,0.995856,7.815304,-4.383532,1.905692,1,metal,5.996178,1.686578,74.410732
478,0.995856,6.331981,-4.383532,1.905679,1,metal,6.003956,1.687743,74.904424
479,0.995856,5.129902,-4.383532,1.905681,1,metal,6.104959,1.686973,82.929079
480,0.995856,4.156036,-4.383532,1.905679,1,metal,6.191009,1.691002,90.017790
481,0.995856,3.367118,-4.383532,1.905692,1,metal,6.415478,1.715247,109.972577
482,0.995856,2.727838,-4.383532,1.905678,1,metal,6.754851,1.688979,158.518676
483,0.995856,2.209988,-4.383532,1.905678,1,metal,7.679184,1.721418,386.745235
484,0.995856,1.790286,-4.383532,1.905691,1,metal,7.887731,1.808848,436.541324
485,0.990952,1.450490,-4.383532,1.905706,1,metal,8.953425,1.698715,1414.753154
486,0.990952,1.175147,-4.383532,1.905706,1,metal,11.000588,1.698726,10958.404819
487,0.990952,0.952067,-4.383532,1.905706,1,metal,14.420715,1.807303,300562.739933
488,0.986741,0.771335,-4.383532,1.905721,2,metal,20.068662,2.008530,69729352.279658
489,0.986741,0.624919,-4.383532,1.905722,3,metal,28.114029,2.282850,165325000011.692383
490,0.983092,0.506279,-4.383532,1.905692,4,metal,40.706762,2.607034,35196661113437960.000000
491,0.979855,0.410094,-4.383532,1.905746,4,metal,59.043676,2.965573,2261573590838659885563904.000000
492,0.976930,0.332287,-4.383532,1.905682,5,metal,85.429346,3.345698,445118280632134336930036217108496384.000000
493,0.976930,0.269205,-4.383532,1.905679,5,metal,118.988759,3.740532,112633843409125632019610884185539272986391180476416.000000
494,0.976930,0.218099,-4.383532,1.905678,6,metal,158.572274,4.144520,11671363966946002911616577860193287470056017436590025067229234593792.000000
495,0.988079,10.456618,-3.757566,3.010381,1,metal,6.219037,1.792562,83.636095
496,0.988080,8.470599,-3.757566,3.010191,1,metal,6.255678,1.788638,87.098564
497,0.988079,6.863170,-3.757566,3.010390,1,metal,6.327878,1.789891,93.502385
498,0.988080,5.560188,-3.757566,3.010196,1,metal,6.443932,1.789058,105.095961
499,0.988079,4.504682,-3.757566,3.010353,1,metal,6.575572,1.793345,119.369925
500,0.988079,3.649504,-3.757566,3.010384,1,metal,6.894210,1.819047,159.998230
501,0.973539,2.956783,-3.757566,3.010296,1,metal,7.269442,1.786338,240.592437
502,0.973538,2.395433,-3.757566,3.010375,1,metal,8.429431,1.820867,741.417431
503,0.973538,1.940560,-3.757566,3.010367,1,metal,8.650315,1.913653,842.743077
504,0.973539,1.572148,-3.757566,3.010286,1,metal,9.717335,1.798610,2748.265818
505,0.973538,1.273741,-3.757566,3.010389,1,metal,11.964823,1.798628,26008.915848
506,0.973538,1.031932,-3.757566,3.010388,1,metal,15.678152,1.913681,950240.761377
507,0.960628,0.836028,-3.757566,3.010389,2,metal,21.766395,2.123218,339565328.741085
508,0.949079,0.677333,-3.757566,3.010340,3,metal,30.777138,2.406789,2094528282610.217285
509,0.949078,0.548740,-3.757566,3.010385,3,metal,43.172604,2.741982,362072905633192576.000000
510,0.949080,0.444435,-3.757566,3.010313,3,metal,59.476885,3.109003,3021759600651880458354688.000000
511,0.949078,0.360162,-3.757566,3.010388,4,metal,78.748583,3.494821,481164696707877698303000771035136.000000
512,0.850133,7.388958,-2.557773,8.750433,1,metal,7.961072,2.075685,359.742053
513,0.850115,5.986295,-2.557773,8.750927,1,metal,8.179432,2.095670,438.676494
514,0.850133,4.849840,-2.557773,8.750440,1,metal,8.554343,2.085000,645.059982
515,0.850133,3.929145,-2.557773,8.750442,1,metal,8.855264,2.090150,867.064832
516,0.850133,3.183237,-2.557773,8.750435,1,metal,9.625266,2.089701,1873.502388
517,0.850133,2.578942,-2.557773,8.750441,1,metal,10.525818,2.222144,4038.681349
518,0.850385,1.986343,-2.557773,8.743377,1,metal,11.377284,2.093811,10758.735580
519,0.850638,1.691897,-2.557773,8.736259,1,metal,12.386931,2.075068,30087.441384
520,0.850133,1.371332,-2.557773,8.750432,1,metal,14.003536,2.170846,137680.395875
521,0.850133,1.111000,-2.557773,8.750442,1,metal,15.670361,2.382691,589877.238813
522,0.956205,9.777822,-3.537379,6.319087,1,metal,7.643029,1.991171,284.820298
523,0.955410,7.389042,-3.537379,6.389060,1,metal,7.788165,2.011983,322.525339
524,0.335760,5.793847,-3.537379,6.662404,2,metal,7.269236,1.859688,223.530629
525,0.435633,4.849809,-3.537379,6.389126,3,metal,7.687345,1.842463,345.461816
526,0.435632,3.929079,-3.537379,6.389121,3,metal,7.969413,1.893902,435.071631
527,0.435617,3.183223,-3.537379,6.389037,3,metal,9.009094,1.843926,1293.578507
528,0.435619,2.578915,-3.537379,6.389047,3,metal,10.054234,1.942754,3332.506866
529,0.769604,1.889689,-3.537379,6.039640,3,metal,11.598570,1.957487,15383.993092
530,0.726369,1.692614,-3.537379,6.388931,3,metal,13.291928,1.931053,85894.527137
531,0.588683,1.371320,-3.537379,6.090419,4,metal,16.738043,1.921082,2722226.498632
532,0.589440,1.110997,-3.537379,5.574333,5,metal,21.500821,2.046337,281173904.745048
533,0.671388,0.900086,-3.537379,4.546717,8,metal,25.563447,2.197160,14055608206.082520
534,0.846368,7.389032,-4.060451,9.312205,1,metal,9.327913,2.095206,1383.964336
535,0.846373,5.986271,-4.060451,9.312055,1,metal,9.522970,2.111947,1654.117895
536,0.846373,4.849841,-4.060451,9.312062,1,metal,10.072558,2.110452,2870.111857
537,0.846373,3.929146,-4.060451,9.312067,1,metal,10.591948,2.107072,4840.996412
538,0.846373,3.183237,-4.060451,9.312074,1,metal,12.406894,2.115856,29467.344485
539,0.846397,2.579045,-4.060451,9.311371,1,metal,12.888283,2.257234,41400.535778
540,0.849939,1.986081,-4.060451,9.207148,1,metal,15.064975,2.108038,423766.031431
541,0.706350,1.692589,-4.060451,9.311124,2,metal,18.241442,2.063913,10612349.233116
542,0.706233,1.371339,-4.060451,9.312089,2,metal,24.608572,2.172081,5546823966.607418
543,0.585749,1.111002,-4.060451,8.340968,3,metal,32.045490,2.299931,8285753625128.142578
544,0.585748,0.900087,-4.060451,8.340968,3,metal,45.543146,2.603540,4450759606384153600.000000
545,0.585747,0.729213,-4.060451,8.340968,3,metal,63.688048,2.958532,236861133229838491287814144.000000
