,xi,rho_0,log10(zeta),gamma,num_stiff,material,eig_FEA,eig_CF,FEA/CF
940,0.942313,1.371318,-3.705626,3.010385,2,hexcelIM7,13.043045,6.556947,1.989195
941,0.942314,1.110970,-3.705626,3.010366,2,hexcelIM7,18.157498,6.556942,2.769202
942,0.935230,0.900078,-3.705626,3.010375,3,hexcelIM7,26.351970,8.080808,3.261056
943,0.935230,0.729213,-3.705626,3.010392,3,hexcelIM7,35.850180,12.311371,2.911957
944,0.912536,0.590821,-3.705626,3.010438,7,hexcelIM7,51.213045,18.659276,2.744643
945,0.912537,0.478624,-3.705626,3.010392,7,hexcelIM7,72.509472,28.432664,2.550217
946,0.912537,0.387771,-3.705626,3.010400,7,hexcelIM7,102.603213,43.316771,2.368672
947,0.912538,0.314094,-3.705626,3.010352,7,hexcelIM7,140.088184,66.021485,2.121858
948,0.912537,0.254506,-3.705626,3.010390,7,hexcelIM7,190.790468,100.556131,1.897353
949,0.912537,0.206192,-3.705626,3.010392,7,hexcelIM7,249.866392,153.201246,1.630968
950,0.912537,0.167048,-3.705626,3.010392,7,hexcelIM7,328.658337,233.411924,1.408061
951,0.907716,0.135335,-3.705626,3.010392,8,hexcelIM7,461.235770,355.232094,1.298407
952,0.452399,7.389454,-2.293809,6.639522,1,torayBT250E,6.119259,6.673871,0.916898
953,0.419858,5.986133,-2.293809,6.639474,1,torayBT250E,6.287233,6.633228,0.947839
954,0.419859,4.849660,-2.293809,6.639443,1,torayBT250E,6.420929,6.633223,0.967995
955,0.419858,3.929083,-2.293809,6.639470,1,torayBT250E,6.591167,6.633227,0.993659
956,0.419858,3.183225,-2.293809,6.639509,1,torayBT250E,7.093121,6.633234,1.069331
957,0.406816,1.419906,-2.293809,5.766442,2,torayBT250E,11.433020,6.442458,1.774636
958,0.401337,1.410321,-2.293809,5.982518,2,torayBT250E,11.692569,6.480043,1.804397
959,0.381680,1.692708,-2.293809,6.639540,2,torayBT250E,9.901002,6.585637,1.503424
960,0.381686,1.371263,-2.293809,6.639359,2,torayBT250E,12.600277,6.585609,1.913305
961,0.381682,1.110988,-2.293809,6.639469,2,torayBT250E,16.254109,6.585626,2.468119
962,0.320119,0.900087,-2.293809,6.639505,3,torayBT250E,21.384185,8.034332,2.661601
963,0.381682,0.729207,-2.293809,6.639461,3,torayBT250E,24.695631,12.384974,1.993999
964,1.039018,7.388791,-1.953877,9.543852,1,solvayMTM45,6.838266,7.834465,0.872844
965,1.039010,5.986249,-1.953877,9.543958,1,solvayMTM45,6.850549,7.834471,0.874411
966,1.305558,4.849839,-1.953877,0.112326,5,solvayMTM45,5.773809,6.260022,0.922330
967,1.305559,3.929157,-1.953877,0.112285,5,solvayMTM45,5.867198,6.260008,0.937251
968,1.305278,1.949390,-1.953877,0.127591,6,solvayMTM45,6.747775,6.265390,1.076992
969,1.305276,1.950553,-1.953877,0.127732,6,solvayMTM45,6.747026,6.265440,1.076864
970,1.305276,1.949034,-1.953877,0.127756,6,solvayMTM45,6.748060,6.265449,1.077027
971,1.305275,1.692499,-1.953877,0.127818,6,solvayMTM45,6.982652,6.265471,1.114466
972,1.305274,1.371340,-1.953877,0.127826,6,solvayMTM45,7.601853,6.265474,1.213293
973,1.305275,1.110932,-1.953877,0.127784,6,solvayMTM45,8.729332,6.265459,1.393247
974,0.795194,7.389026,-4.038407,12.153231,1,hexcelIM7,8.231486,7.893522,1.042815
975,0.795188,5.986293,-4.038407,12.153231,1,hexcelIM7,8.398014,7.893515,1.063913
976,0.795183,4.849836,-4.038407,12.153231,1,hexcelIM7,8.685440,7.893510,1.100327
977,0.795178,3.929142,-4.038407,12.153231,1,hexcelIM7,9.478177,7.893504,1.200757
978,0.795184,3.183226,-4.038407,12.153231,1,hexcelIM7,9.866192,7.893511,1.249912
979,1.153893,2.221737,-4.038407,6.961123,2,hexcelIM7,11.054386,7.600665,1.454397
