,rho_0,xi,gamma,log10(zeta),eig_FEA
495,0.900088,0.994542,1.105271,-2.359228,12.475360
496,0.729214,0.988137,1.105272,-2.359228,18.834818
497,0.590811,0.994542,1.105259,-2.359228,24.526210
498,0.478676,0.994542,1.105271,-2.359228,34.272317
499,0.387754,0.994542,1.105269,-2.359228,68.081472
500,0.314145,0.994542,1.105269,-2.359228,87.144651
501,7.388732,0.985947,1.905587,-2.193049,5.832727
502,5.986201,0.985947,1.905588,-2.193049,5.850427
503,4.849847,0.985946,1.905677,-2.193049,5.907751
504,3.929144,0.985946,1.905674,-2.193049,6.071865
505,3.183229,0.985946,1.905675,-2.193049,6.188968
506,2.579117,0.985947,1.905595,-2.193049,6.604550
507,2.088920,0.985947,1.905650,-2.193049,6.872813
508,1.692663,0.985946,1.905661,-2.193049,7.325239
509,1.371340,0.985946,1.905675,-2.193049,8.293997
510,1.111003,0.953366,1.905677,-2.193049,11.282459
511,0.900088,0.953366,1.905676,-2.193049,14.716992
512,7.388725,0.976499,3.010347,-2.568443,6.277377
513,5.986280,0.976498,3.010383,-2.568443,6.320527
514,4.849832,0.976499,3.010351,-2.568443,6.383955
515,3.929149,0.976498,3.010384,-2.568443,6.542266
516,3.183311,0.976499,3.010354,-2.568443,6.779902
517,2.579111,0.976498,3.010359,-2.568443,7.291670
518,2.085390,0.946413,3.009903,-2.568443,7.899588
519,1.692571,0.946399,3.010347,-2.568443,9.027297
520,1.371334,0.505803,5.422268,-2.568443,13.195786
521,1.111001,0.890662,3.010388,-2.568443,14.978058
522,0.900088,0.917955,3.010388,-2.568443,19.808175
523,0.729215,0.890662,3.010391,-2.568443,27.368938
524,7.388733,0.986752,4.535130,-4.678722,7.214865
525,5.986199,0.986752,4.535132,-4.678722,7.230616
526,2.153965,0.999999,0.008450,-4.678722,6.450492
527,3.929180,0.986752,4.535134,-4.678722,7.529003
528,2.107700,0.957483,4.435288,-4.678722,10.342862
529,2.106353,0.956702,4.485144,-4.678722,10.384948
530,2.065834,0.919589,4.529250,-4.678722,10.769151
531,1.692561,0.919402,4.535227,-4.678722,13.770097
532,1.371308,0.953031,2.900835,-4.678722,15.662198
533,1.022440,0.225239,5.008430,-4.678722,32.741817
534,0.900089,0.953027,2.900987,-4.678722,32.275397
535,0.452986,0.953040,2.900486,-4.678722,102.765677
536,0.453030,0.953065,2.899544,-4.678722,102.733724
537,0.440489,0.900626,4.478561,-4.678722,134.753267
538,0.387750,0.898307,4.535134,-4.678722,165.743059
539,0.314137,0.953031,2.900835,-4.678722,188.479871
540,0.206192,0.942051,3.129233,-4.678722,371.086212
541,7.388716,0.965596,6.639257,-4.070374,7.331256
542,5.986301,0.919297,6.639509,-4.070374,7.582773
543,4.849847,0.919297,6.639508,-4.070374,7.730073
544,3.929142,0.919298,6.639502,-4.070374,8.162638
545,3.183225,0.919297,6.639508,-4.070374,8.771028
546,2.578921,0.919297,6.639504,-4.070374,9.399624
547,2.089364,0.872298,6.639525,-4.070374,11.314331
548,1.692656,0.872301,6.639452,-4.070374,14.845247
549,1.371301,0.872307,6.639303,-4.070374,20.784335
550,1.111003,0.822455,6.639506,-4.070374,30.371177
551,0.900087,0.764526,6.639456,-4.070374,42.389449
552,0.729213,0.679997,6.639487,-4.070374,59.591314
553,0.590778,0.679996,6.639494,-4.070374,85.382351
554,0.478627,0.587584,6.358298,-4.070374,119.937620
555,0.372653,0.644602,5.927544,-4.070374,176.924955
556,0.314139,0.588594,5.687763,-4.070374,229.833786
557,0.206191,0.588566,5.687763,-4.070374,387.908389
558,7.388215,0.588431,7.833944,-2.816506,7.051191
559,5.986231,0.588337,7.833944,-2.816506,7.191340
560,4.849827,0.588331,7.833944,-2.816506,7.304633
561,3.929138,0.588328,7.833944,-2.816506,7.724100
562,3.183225,0.588309,7.833944,-2.816506,8.244890
563,2.578925,0.588323,7.833944,-2.816506,8.746978
564,2.089350,0.588317,7.833944,-2.816506,10.051258
565,1.664130,0.596903,6.087803,-2.816506,12.015113
566,7.389049,1.256477,0.105178,-2.333199,5.732341
567,5.986299,1.256477,0.105178,-2.333199,5.749022
568,4.849848,1.256477,0.105172,-2.333199,5.807615
569,3.929146,1.256477,0.105178,-2.333199,5.880683
570,3.183233,1.256477,0.105178,-2.333199,6.009492
571,2.578922,1.256477,0.105175,-2.333199,6.217939
572,2.089320,1.256477,0.105178,-2.333199,6.657369
573,1.692682,1.256477,0.105178,-2.333199,6.947757
574,1.371341,1.256477,0.105178,-2.333199,7.536566
575,1.111003,1.256477,0.105178,-2.333199,8.643791
576,0.900088,1.256477,0.105178,-2.333199,10.581710
577,0.729214,1.256477,0.105178,-2.333199,13.869735
578,0.590780,1.256477,0.105178,-2.333199,19.075061
579,0.387759,1.256477,0.105178,-2.333199,36.799379
580,0.314147,1.256477,0.105178,-2.333199,49.374482
581,7.389056,0.750614,0.525347,-2.241481,4.736354
582,4.849852,0.750614,0.525347,-2.241481,4.812075
583,3.929351,0.750614,0.525322,-2.241481,4.871257
584,3.183272,0.750614,0.525347,-2.241481,4.999739
585,2.578681,0.750614,0.525320,-2.241481,5.147771
586,2.089326,0.750614,0.525348,-2.241481,5.567258
587,1.692684,0.750614,0.525347,-2.241481,5.728780
588,1.371341,0.750614,0.525347,-2.241481,6.178599
589,1.111003,0.750614,0.525346,-2.241481,7.121011
590,0.900123,0.750614,0.525322,-2.241481,8.915258
591,0.729214,0.750614,0.525347,-2.241481,12.074608
592,0.590774,0.750614,0.525347,-2.241481,16.745313
593,0.478604,0.750614,0.525321,-2.241481,23.148182
594,0.387759,0.748362,0.525346,-2.241481,30.161317
595,7.390214,0.828646,1.105265,-1.690541,5.330243
596,5.986205,0.828646,1.105262,-1.690541,5.317198
597,4.849846,0.828646,1.105271,-1.690541,5.360786
598,3.929103,0.828646,1.105224,-1.690541,5.424184
599,3.183226,0.828646,1.105262,-1.690541,5.544589
600,2.578914,0.828646,1.105271,-1.690541,5.762448
601,2.089417,0.828646,1.105224,-1.690541,6.165378
602,1.692697,0.828646,1.105272,-1.690541,6.410040
603,1.371335,0.828646,1.105269,-1.690541,7.016211
604,1.110962,0.828646,1.105223,-1.690541,8.210823
605,0.900087,0.828646,1.105270,-1.690541,10.254732
606,5.985980,0.973572,1.887925,-1.683004,5.626114
607,4.849746,0.973527,1.892530,-1.683004,5.667392
608,3.929137,0.973462,1.899189,-1.683004,5.792016
609,3.183229,0.973461,1.899192,-1.683004,5.886913
610,2.578927,0.973475,1.897830,-1.683004,6.202392
611,2.089355,0.973475,1.897828,-1.683004,6.510741
612,1.693931,0.973528,1.892382,-1.683004,6.842947
613,1.371322,0.973458,1.899582,-1.683004,7.605649
614,1.111002,0.973442,1.901196,-1.683004,8.943474
615,0.900079,0.959080,1.905450,-1.683004,12.024337
616,0.729213,0.973475,1.897828,-1.683004,14.465174
617,0.590788,0.973572,1.887932,-1.683004,19.119126
618,7.389010,0.701595,3.010425,-1.833560,5.955696
619,3.090438,0.703510,2.893735,-1.833560,5.766556
620,3.089580,0.702940,2.928811,-1.833560,5.769949
621,3.087124,0.702333,2.965843,-1.833560,5.773917
622,3.084753,0.701694,3.004448,-1.833560,5.782874
623,2.578701,0.701595,3.010410,-1.833560,5.971423
624,2.089324,0.612190,3.010394,-1.833560,6.978478
625,1.692683,0.551572,3.010396,-1.833560,5.860152
626,1.371340,0.551568,3.010420,-1.833560,5.862742
627,1.111003,0.442018,2.921127,-1.833560,6.356492
628,0.900090,0.443538,2.675587,-1.833560,7.336988
629,7.388821,1.373034,4.535026,-2.886446,7.090330
630,5.986298,1.373032,4.535105,-2.886446,7.199953
631,4.849849,1.373032,4.535093,-2.886446,7.354520
632,3.929429,1.373039,4.534747,-2.886446,7.478435
633,3.183246,1.298168,4.535100,-2.886446,8.190745
634,2.578925,1.298167,4.535108,-2.886446,8.527695
635,2.089225,1.298169,4.535065,-2.886446,9.402777
636,1.692681,1.218961,4.535102,-2.886446,11.322617
637,1.371348,0.385106,4.535067,-2.886446,13.359924
638,1.111003,1.218960,4.535108,-2.886446,19.367960
639,0.900087,1.128146,4.535106,-2.886446,26.688154
640,0.729214,1.128146,4.535106,-2.886446,35.613810
641,0.590779,1.218960,4.535109,-2.886446,44.401080
642,0.478636,1.218957,4.535137,-2.886446,58.451071
643,0.387754,1.218963,4.535076,-2.886446,110.598539
644,0.314138,1.218970,4.535006,-2.886446,112.157083
645,4.408592,0.315418,9.632557,-1.643433,8.672701
646,4.849820,0.831256,6.639520,-1.643433,6.243964
647,1.618755,0.916184,0.000079,-1.643433,6.138702
648,1.618741,0.916184,0.000077,-1.643433,6.138354
649,1.549454,0.839468,6.277718,-1.643433,14.013513
650,1.546271,0.836439,6.413924,-1.643433,14.035449
651,1.692687,0.449002,6.639495,-1.643433,11.426775
652,1.358882,0.645729,6.569010,-1.643433,15.430111
653,7.388993,0.551980,8.423253,-3.577934,7.395324
654,5.986279,0.551973,8.423253,-3.577934,7.647324
655,4.849848,0.551967,8.423253,-3.577934,7.790694
656,3.929150,0.551966,8.423253,-3.577934,8.461768
657,3.183242,0.551961,8.423253,-3.577934,8.914359
658,2.244944,0.605791,6.481064,-3.577934,10.220853
659,2.089273,0.553281,6.545323,-3.577934,10.993231
660,1.692665,0.553274,6.545323,-3.577934,14.326318
661,1.371335,0.553271,6.545323,-3.577934,19.561923
662,1.111003,0.554329,5.578305,-3.577934,25.877686
663,0.900089,0.555239,4.973735,-3.577934,33.868592
664,0.729216,0.556046,4.552435,-3.577934,44.329412
665,0.482624,0.603274,4.932961,-3.577934,79.260002
666,0.466045,0.562474,4.972837,-3.577934,81.852897
667,0.387759,0.555241,4.973735,-3.577934,99.120646
668,0.314146,0.555241,4.973735,-3.577934,127.157014
669,0.254544,0.941543,0.071289,-3.577934,89.697073
670,0.206192,0.941541,0.071482,-3.577934,130.482730
671,0.167093,0.941613,0.063615,-3.577934,185.704272
672,7.389010,0.899953,13.552623,-4.806935,8.886025
673,5.986298,0.899949,13.552704,-4.806935,9.018018
674,4.849849,0.899951,13.552661,-4.806935,9.473087
675,3.929134,0.415357,13.551920,-4.806935,9.747190
676,3.183225,0.415397,13.552559,-4.806935,10.340499
677,2.134048,0.773629,10.131134,-4.806935,14.302829
678,2.024819,0.696487,10.363242,-4.806935,15.518803
679,1.692654,0.674960,10.374316,-4.806935,20.611728
680,1.371299,0.674984,10.374316,-4.806935,29.596179
681,1.111000,0.674948,10.374316,-4.806935,40.100119
682,0.900088,0.674186,12.175615,-4.806935,43.839096
683,0.729224,0.674219,12.175615,-4.806935,53.810510
684,0.452822,0.750447,7.323303,-4.806935,164.301421
685,0.438742,0.704541,7.405031,-4.806935,172.893056
686,0.387748,0.677642,7.045575,-4.806935,212.677679
687,0.254508,0.677634,7.045575,-4.806935,357.496246
688,2.700184,0.817635,3.856538,-2.389034,6.883387
689,2.701079,0.817593,3.857346,-2.389034,6.883183
690,2.699516,0.817636,3.856501,-2.389034,6.883647
691,2.698253,0.817635,3.856526,-2.389034,6.884157
692,0.581892,0.817685,3.855557,-2.389034,25.143773
693,0.581818,0.817646,3.856308,-2.389034,25.148422
694,0.581854,0.817633,3.856564,-2.389034,25.146418
695,0.581827,0.817631,3.856605,-2.389034,25.147999
696,0.580661,0.817968,3.850060,-2.389034,25.196014
697,0.581665,0.817635,3.856530,-2.389034,25.138980
698,0.581888,0.817592,3.857368,-2.389034,25.144721
699,0.523145,0.661195,3.776516,-2.389034,30.287324
700,7.389005,1.499371,0.105183,-3.780912,6.506027
701,5.986285,1.499371,0.105184,-3.780912,6.531224
702,4.849848,1.499371,0.105173,-3.780912,6.598264
703,3.929153,1.499371,0.105184,-3.780912,6.748267
704,3.183230,1.499371,0.105173,-3.780912,6.888360
705,2.578976,1.499371,0.105183,-3.780912,7.241991
706,2.089243,1.499371,0.105182,-3.780912,7.674296
707,1.692681,1.499371,0.105173,-3.780912,8.166858
708,1.371336,1.499371,0.105184,-3.780912,9.131412
709,1.111002,1.499371,0.105183,-3.780912,10.835805
710,0.900089,1.499371,0.105183,-3.780912,13.645469
711,0.729217,1.499371,0.105184,-3.780912,18.215842
712,0.590777,1.499371,0.105172,-3.780912,25.474097
713,0.478620,1.499371,0.105171,-3.780912,36.554391
714,0.387755,1.499371,0.105183,-3.780912,52.266641
715,0.314145,1.499371,0.105183,-3.780912,73.727465
716,0.254508,1.498990,0.080609,-3.780912,106.473443
717,0.206192,1.498990,0.080609,-3.780912,153.880617
718,0.167049,1.498990,0.080610,-3.780912,221.066420
719,0.135336,1.498796,0.105189,-3.780912,323.242347
720,7.389066,0.541549,0.519319,-3.795084,5.007561
721,5.975165,0.541551,0.515609,-3.795084,4.994823
722,4.849787,0.541550,0.517167,-3.795084,5.052924
723,3.929138,0.541549,0.519443,-3.795084,5.089937
724,3.183200,0.541552,0.514969,-3.795084,5.227146
725,2.578926,0.541553,0.513479,-3.795084,5.383810
726,2.089335,0.541550,0.517730,-3.795084,5.896077
727,1.692771,0.541552,0.515044,-3.795084,6.030933
728,1.371757,0.541552,0.515321,-3.795084,6.609630
729,1.110983,0.541550,0.518389,-3.795084,7.933391
730,0.900087,0.541549,0.519322,-3.795084,10.551025
731,0.729211,0.541550,0.518391,-3.795084,15.290702
732,0.590778,0.541552,0.514992,-3.795084,22.828250
733,0.478624,0.541550,0.518390,-3.795084,32.346940
734,0.387763,0.541550,0.518388,-3.795084,76.057735
735,0.314155,0.540954,0.525335,-3.795084,76.451712
736,0.254500,0.540954,0.525334,-3.795084,114.991400
737,0.206192,0.541119,0.525342,-3.795084,237.813269
738,0.167048,0.540683,0.525347,-3.795084,243.083101
739,0.135335,0.540461,0.525347,-3.795084,351.576361
740,7.389046,1.513587,1.105271,-2.688764,6.598799
741,5.986298,1.513587,1.105271,-2.688764,6.633828
742,4.849852,1.513588,1.105264,-2.688764,6.702386
743,3.929144,1.513587,1.105271,-2.688764,6.872759
744,3.183342,1.513588,1.105264,-2.688764,7.047662
745,2.578980,1.513587,1.105270,-2.688764,7.563933
746,2.088936,1.513588,1.105261,-2.688764,7.850181
747,1.692684,1.513587,1.105272,-2.688764,8.453903
748,1.371341,1.513587,1.105271,-2.688764,9.674825
749,1.111002,1.513587,1.105270,-2.688764,11.776747
750,0.900097,1.513588,1.105264,-2.688764,15.290610
751,0.729214,1.497042,1.105272,-2.688764,23.374871
752,0.590778,1.490495,1.105272,-2.688764,32.402583
753,7.388915,1.281316,1.905648,-2.098471,6.263467
754,5.986296,1.281315,1.905672,-2.098471,6.283295
755,4.849837,1.281316,1.905650,-2.098471,6.373350
756,3.929147,1.281317,1.905541,-2.098471,6.523344
757,3.183271,1.281317,1.905541,-2.098471,6.672892
758,2.578933,1.281316,1.905650,-2.098471,7.140019
759,2.089618,1.281317,1.905546,-2.098471,7.387301
760,1.692628,1.281316,1.905650,-2.098471,7.928243
761,1.371339,1.281315,1.905673,-2.098471,9.034159
762,1.111002,1.261855,1.905675,-2.098471,11.891462
763,0.900087,1.281315,1.905677,-2.098471,14.083086
764,0.729220,1.281317,1.905541,-2.098471,19.283364
765,0.590778,1.281315,1.905677,-2.098471,27.042078
766,0.478625,1.281315,1.905673,-2.098471,37.426135
767,0.387718,1.281316,1.905649,-2.098471,72.799966
768,0.314146,1.281315,1.905670,-2.098471,92.713829
769,7.389115,0.677366,3.010417,-2.971306,5.912229
770,5.986067,0.677365,3.010465,-2.971306,5.917899
771,4.849805,0.677365,3.010465,-2.971306,5.967723
772,3.929074,0.677364,3.010765,-2.971306,6.178371
773,3.183215,0.677364,3.010767,-2.971306,6.330952
774,2.578919,0.677365,3.010466,-2.971306,6.933729
775,2.089338,0.669607,3.010238,-2.971306,7.481266
776,1.692709,0.662804,3.010342,-2.971306,8.831640
777,1.370543,0.662805,3.010265,-2.971306,11.304743
778,1.111000,0.662803,3.010384,-2.971306,15.445267
779,0.900084,0.656791,3.010362,-2.971306,22.476412
780,0.729207,0.656793,3.010230,-2.971306,31.428633
781,0.590777,0.651360,3.010390,-2.971306,43.642133
782,0.478625,0.651360,3.010368,-2.971306,60.763418
783,0.387764,0.651360,3.010368,-2.971306,85.671121
784,0.314164,0.651360,3.010380,-2.971306,116.817267
785,0.254483,0.651363,3.010249,-2.971306,163.318868
786,0.206185,0.646365,3.010281,-2.971306,244.742939
787,7.389187,0.592232,4.535102,-2.069630,5.909356
788,5.985803,0.592232,4.535086,-2.069630,5.989496
789,4.849838,0.592232,4.535106,-2.069630,6.013211
790,3.929060,0.592233,4.535061,-2.069630,6.156499
791,3.183224,0.569150,4.535107,-2.069630,6.617919
792,2.578917,0.569150,4.535103,-2.069630,7.032221
793,2.089371,0.569150,4.535087,-2.069630,7.468048
794,1.692701,0.546549,4.535111,-2.069630,8.741048
795,1.371419,0.546548,4.535145,-2.069630,10.795325
796,1.110981,0.546550,4.535089,-2.069630,13.912189
797,0.900082,0.569150,4.535100,-2.069630,16.639657
798,0.729211,0.546550,4.535102,-2.069630,24.862380
799,7.389365,0.425219,6.639508,-3.641645,6.387317
800,5.381947,0.415968,6.609116,-3.641645,6.741192
801,4.849090,0.415843,6.639477,-3.641645,6.878730
802,3.929107,0.399424,6.639513,-3.641645,6.956329
803,1.182320,0.432723,0.017663,-3.641645,6.183979
804,2.578914,0.392028,6.639510,-3.641645,8.092022
805,1.132308,0.396572,6.213990,-3.641645,24.148582
806,1.114794,0.384535,6.214863,-3.641645,24.826319
807,1.110878,0.381694,6.405164,-3.641645,25.424232
808,1.105414,0.378123,6.633263,-3.641645,26.171514
809,0.900074,0.371186,6.639512,-3.641645,36.646719
810,0.254816,0.432711,0.035603,-3.641645,78.286818
811,0.254811,0.432711,0.035645,-3.641645,78.293607
812,0.387761,0.364337,6.639543,-3.641645,163.435889
813,0.236470,0.372611,6.239471,-3.641645,321.968516
814,0.234730,0.367179,6.507486,-3.641645,329.438763
815,0.206187,0.364338,6.639491,-3.641645,395.299030
816,0.167047,0.364337,6.639524,-3.641645,548.465817
817,7.388972,0.128893,9.544106,-4.098242,7.115761
818,5.986304,0.399809,9.544042,-4.098242,7.214171
819,4.849848,0.128890,9.543986,-4.098242,7.368258
820,3.929276,0.399804,9.544337,-4.098242,7.949837
821,3.183217,0.399809,9.544046,-4.098242,8.473843
822,2.578883,0.331226,9.544308,-4.098242,9.421469
823,2.089303,0.218803,9.544081,-4.098242,11.635897
824,1.692682,0.332250,8.124231,-4.098242,14.517299
825,1.371343,0.332250,8.124231,-4.098242,20.459808
826,1.111004,0.332238,8.124404,-4.098242,28.132577
827,0.690543,0.320733,6.288444,-4.098242,52.750211
828,0.664232,0.296771,6.424890,-4.098242,56.724250
829,0.590755,0.278531,6.454896,-4.098242,68.793068
830,0.478619,0.278786,6.079157,-4.098242,95.318721
831,0.387759,0.278785,6.079157,-4.098242,127.189374
832,0.314146,0.278808,6.079157,-4.098242,168.195971
833,0.254509,0.279031,5.774483,-4.098242,245.994602
834,0.148825,0.320954,5.627552,-4.098242,504.749092
835,7.387176,0.921067,9.423033,-3.279423,7.746477
836,5.986220,0.920896,9.423034,-3.279423,7.974856
837,4.849727,0.920927,9.423034,-3.279423,8.067339
838,3.929136,0.920887,9.423034,-3.279423,8.693321
839,3.183228,0.920885,9.423034,-3.279423,9.153889
840,2.057733,1.536301,1.465468,-3.279423,8.640979
841,0.438483,1.501206,1.903431,-3.279423,73.227241
842,0.439033,1.500987,1.907132,-3.279423,73.127924
843,0.438892,1.501006,1.906823,-3.279423,73.161447
844,0.438852,1.501009,1.906772,-3.279423,73.171170
845,0.439017,1.500987,1.907135,-3.279423,73.131997
846,0.438683,1.501013,1.906703,-3.279423,73.215272
847,0.438416,1.501012,1.906710,-3.279423,73.286334
848,0.441273,1.519883,1.698706,-3.279423,68.964438
849,7.227725,0.869141,9.896058,-3.196571,7.694256
850,5.986204,0.861113,9.896965,-3.196571,7.905464
851,4.849711,0.861131,9.896965,-3.196571,7.999250
852,3.929134,0.861108,9.896965,-3.196571,8.617856
853,3.183224,0.861104,9.896965,-3.196571,9.079359
854,2.578916,0.861104,9.896965,-3.196571,9.852128
855,2.000635,1.440245,1.406752,-3.196571,8.454245
856,1.692533,1.440241,1.406906,-3.196571,9.337446
857,1.371135,1.440243,1.406829,-3.196571,11.359243
858,1.111002,1.440240,1.406924,-3.196571,14.761395
859,0.429836,1.426896,1.635599,-3.196571,68.216182
860,0.429766,1.426890,1.635764,-3.196571,68.235717
861,0.429718,1.426890,1.635758,-3.196571,68.247865
862,0.429521,1.426897,1.635567,-3.196571,68.294798
863,0.387747,1.411411,1.843537,-3.196571,84.777452
864,0.314134,1.411412,1.843518,-3.196571,119.332399
865,7.389038,0.930975,0.105128,-2.998885,5.358359
866,5.986302,0.930975,0.105132,-2.998885,5.387583
867,4.849862,0.930975,0.105135,-2.998885,5.437871
868,3.929172,0.930975,0.105132,-2.998885,5.508805
869,3.183239,0.930975,0.105163,-2.998885,5.659115
870,2.578910,0.930975,0.105170,-2.998885,5.829880
871,2.089309,0.930975,0.105132,-2.998885,6.297934
872,1.692679,0.930975,0.105132,-2.998885,6.562475
873,1.371342,0.930975,0.105169,-2.998885,7.111604
874,1.111003,0.930975,0.105163,-2.998885,8.234908
875,0.900093,0.930975,0.105132,-2.998885,10.322968
876,0.729224,0.930975,0.105130,-2.998885,13.989019
877,0.590692,0.930975,0.105132,-2.998885,19.965411
878,0.478595,0.930975,0.104972,-2.998885,28.943236
879,0.387758,0.930975,0.105132,-2.998885,40.816247
880,0.314146,0.930975,0.105134,-2.998885,56.674124
881,0.254509,0.930975,0.105132,-2.998885,80.223466
882,0.206193,0.930975,0.105128,-2.998885,114.035065
883,0.167048,0.930975,0.105166,-2.998885,171.606882
884,5.004981,0.378068,0.524761,-1.538386,4.529656
885,1.078937,0.378449,0.000186,-1.538386,5.936828
886,1.078936,0.378449,0.000189,-1.538386,5.936834
887,1.078934,0.378449,0.000179,-1.538386,5.936837
888,1.078935,0.378449,0.000187,-1.538386,5.936837
889,1.078391,0.378070,0.523050,-1.538386,6.619452
890,1.078929,0.378449,0.000181,-1.538386,5.936858
891,1.078929,0.378449,0.000190,-1.538386,5.936862
892,1.078368,0.378067,0.525245,-1.538386,6.622014
893,7.389055,1.084323,1.105272,-4.588729,6.307637
894,5.986300,1.084323,1.105272,-4.588729,6.323504
895,4.849850,1.084323,1.105273,-4.588729,6.370001
896,3.929165,1.084323,1.105277,-4.588729,6.537154
897,3.183235,1.084323,1.105273,-4.588729,6.687837
898,2.578867,1.084323,1.105273,-4.588729,7.234593
899,2.089211,1.084323,1.105296,-4.588729,7.456900
900,1.692648,1.084323,1.105297,-4.588729,8.040729
901,1.371341,1.084323,1.105272,-4.588729,9.333086
902,1.111003,1.084323,1.105272,-4.588729,11.685110
903,0.900108,1.084323,1.105297,-4.588729,15.737999
904,0.729214,1.078424,1.105272,-4.588729,29.707691
905,0.590792,1.078424,1.105277,-4.588729,40.869556
906,0.478584,1.075645,1.105550,-4.588729,58.960818
907,0.387758,1.075648,1.105326,-4.588729,84.247054
908,0.314146,1.075648,1.105326,-4.588729,119.688473
909,0.254509,1.075648,1.105326,-4.588729,166.579951
910,0.206193,1.073540,1.095115,-4.588729,247.473598
911,0.167050,1.073556,1.094241,-4.588729,347.190137
912,0.135340,1.073540,1.095117,-4.588729,514.775871
913,7.388847,1.302717,1.905697,-3.136348,6.543858
914,5.986298,1.302717,1.905679,-3.136348,6.587539
915,4.849851,1.302717,1.905682,-3.136348,6.658970
916,3.929155,1.302717,1.905682,-3.136348,6.834693
917,3.183230,1.302717,1.905679,-3.136348,7.049123
918,2.579007,1.302717,1.905683,-3.136348,7.618124
919,2.089317,1.302717,1.905678,-3.136348,7.878478
920,1.692682,1.302717,1.905679,-3.136348,8.582418
921,1.371341,1.302717,1.905679,-3.136348,10.018938
922,1.111003,1.309258,0.570685,-3.136348,11.371281
923,0.900088,1.281010,1.905679,-3.136348,20.498564
924,0.507651,1.300045,0.917018,-3.136348,41.358140
925,0.501083,1.265281,1.883125,-3.136348,51.558570
926,0.478586,1.264340,1.905690,-3.136348,55.362510
927,0.387759,1.257171,1.905680,-3.136348,77.770120
928,7.388230,0.959606,3.010377,-3.705626,6.426764
929,5.986233,0.959606,3.010381,-3.705626,6.527463
930,4.849743,0.959607,3.010336,-3.705626,6.571253
931,3.929142,0.959606,3.010391,-3.705626,6.719325
932,3.183229,0.959606,3.010381,-3.705626,6.987538
933,2.578925,0.959606,3.010381,-3.705626,7.545478
934,2.089446,0.950369,3.010363,-3.705626,8.325325
935,1.692847,0.942313,3.010399,-3.705626,10.009048
936,1.371318,0.942313,3.010385,-3.705626,13.043045
937,1.110970,0.942314,3.010366,-3.705626,18.157498
938,0.900078,0.935230,3.010375,-3.705626,26.654601
939,0.729213,0.935230,3.010392,-3.705626,37.192205
940,0.590821,0.912536,3.010438,-3.705626,54.393723
941,0.478624,0.912537,3.010392,-3.705626,78.889526
942,0.387771,0.912537,3.010400,-3.705626,114.357044
943,0.314094,0.912538,3.010352,-3.705626,161.298277
944,0.254506,0.912537,3.010390,-3.705626,227.745233
945,0.206192,0.912537,3.010392,-3.705626,314.103160
946,0.167048,0.912537,3.010392,-3.705626,437.267514
947,0.135335,0.907716,3.010392,-3.705626,636.777080
948,7.389454,0.452399,6.639522,-2.293809,6.119259
949,5.986133,0.419858,6.639474,-2.293809,6.287233
950,4.849660,0.419859,6.639443,-2.293809,6.420929
951,3.929083,0.419858,6.639470,-2.293809,6.591167
952,3.183225,0.419858,6.639509,-2.293809,7.093121
953,1.419906,0.406816,5.766442,-2.293809,11.433020
954,1.410321,0.401337,5.982518,-2.293809,11.692569
955,1.692708,0.381680,6.639540,-2.293809,9.901002
956,1.371263,0.381686,6.639359,-2.293809,12.600277
957,1.110988,0.381682,6.639469,-2.293809,16.254109
958,0.900087,0.320119,6.639505,-2.293809,22.021827
959,0.729207,0.381682,6.639461,-2.293809,27.320085
960,7.388791,1.039018,9.543852,-1.953877,6.838266
961,5.986249,1.039010,9.543958,-1.953877,6.850549
962,4.849839,1.305558,0.112326,-1.953877,5.773809
963,3.929157,1.305559,0.112285,-1.953877,5.867198
964,1.949390,1.305278,0.127591,-1.953877,6.747775
965,1.950553,1.305276,0.127732,-1.953877,6.747026
966,1.949034,1.305276,0.127756,-1.953877,6.748060
967,1.692499,1.305275,0.127818,-1.953877,6.982652
968,1.371340,1.305274,0.127826,-1.953877,7.601853
969,1.110932,1.305275,0.127784,-1.953877,8.729332
970,7.389026,0.795194,12.153231,-4.038407,8.231486
971,5.986293,0.795188,12.153231,-4.038407,8.398014
972,4.849836,0.795183,12.153231,-4.038407,8.685440
973,3.929142,0.795178,12.153231,-4.038407,9.478177
974,3.183226,0.795184,12.153231,-4.038407,9.866192
975,2.221737,1.153893,6.961123,-4.038407,11.054386
976,2.088707,1.052716,7.054662,-4.038407,11.791508
977,1.692580,1.052738,7.054477,-4.038407,15.518541
978,1.371309,1.052738,7.054477,-4.038407,21.811399
979,1.110995,1.052738,7.054477,-4.038407,30.995256
980,0.900093,1.052738,7.054477,-4.038407,41.985031
981,0.729231,1.153727,6.963798,-4.038407,48.229070
982,0.590782,0.876552,6.500360,-4.038407,82.647120
983,0.417295,0.876656,6.500179,-4.038407,138.087172
984,0.387743,0.876552,6.500360,-4.038407,151.736358
985,0.314144,0.876552,6.500360,-4.038407,194.359447
986,7.389020,0.409065,16.219977,-4.954506,8.864694
987,5.986254,0.409089,16.219977,-4.954506,8.986918
988,4.849871,0.409080,16.219977,-4.954506,9.548118
989,3.929142,0.409057,16.219977,-4.954506,10.212776
990,3.183390,0.409047,16.219977,-4.954506,10.964963
991,2.479527,0.419970,12.591382,-4.954506,12.734381
992,2.089126,0.409623,12.599793,-4.954506,15.920802
993,1.692631,0.409605,12.599793,-4.954506,22.277437
