,rho_0,xi,gamma,log10(zeta),eig_FEA
113,0.590778,0.715233,6.639508,-4.144278,86.389716
114,0.478623,0.587249,6.540182,-4.144278,123.349071
115,0.387775,0.587671,6.159254,-4.144278,171.063695
116,0.314147,0.588208,5.850364,-4.144278,236.995648
117,0.206191,0.588219,5.850364,-4.144278,397.727003
118,7.388903,0.585783,8.874908,-3.804057,7.385171
119,5.986232,0.585740,8.874908,-3.804057,7.629958
120,4.849743,0.585656,8.874908,-3.804057,7.849275
121,3.929137,0.585715,8.874908,-3.804057,8.554123
122,3.183226,0.585733,8.874908,-3.804057,9.004277
123,2.578915,0.585737,8.874908,-3.804057,10.026904
124,2.089353,0.585685,8.874908,-3.804057,12.307236
125,1.677000,0.606342,8.863313,-3.804057,16.773428
126,1.371320,0.586657,7.562911,-3.804057,22.048262
127,1.110972,0.586602,7.562911,-3.804057,30.930375
128,0.900087,0.606857,6.164324,-3.804057,39.611621
129,0.729213,0.606856,6.164324,-3.804057,54.730822
130,0.386833,0.694621,5.532849,-3.804057,145.117937
131,0.376681,0.658683,5.654470,-3.804057,151.003650
132,0.362604,0.610345,5.402429,-3.804057,162.725331
133,0.314139,0.589921,5.138690,-3.804057,202.796542
134,7.388915,0.585921,9.799661,-3.403018,7.563702
135,5.985964,0.585943,9.799661,-3.403018,7.827565
136,4.849844,0.585912,9.799661,-3.403018,7.913444
137,3.929141,0.585911,9.799661,-3.403018,8.521574
138,3.183246,0.588371,6.489688,-3.403018,8.224334
139,0.431239,0.863504,3.747538,-3.403018,92.213687
140,0.431187,0.863437,3.748444,-3.403018,92.239062
141,0.431203,0.863267,3.750732,-3.403018,92.254154
142,0.431140,0.863418,3.748691,-3.403018,92.257323
143,0.430493,0.864055,3.740093,-3.403018,92.395910
144,0.431147,0.863265,3.750756,-3.403018,92.273373
145,0.431162,0.863269,3.750695,-3.403018,92.267574
146,7.387418,0.980415,1.303489,-3.057503,5.879775
147,5.986300,0.980413,1.303578,-3.057503,5.946896
148,4.849847,0.980413,1.303578,-3.057503,6.044312
149,2.120956,0.970352,1.511711,-3.057503,7.409039
150,2.120040,0.970357,1.511546,-3.057503,7.410123
151,2.121009,0.970344,1.511972,-3.057503,7.409118
152,2.087078,0.970341,1.512042,-3.057503,7.455858
153,1.692579,0.970341,1.512042,-3.057503,8.385779
154,1.371335,0.970341,1.512058,-3.057503,10.299347
155,0.454451,0.958724,1.699264,-3.057503,56.811904
156,0.454199,0.958737,1.698939,-3.057503,56.857255
157,0.454303,0.958717,1.699431,-3.057503,56.842197
158,0.453747,0.958737,1.698946,-3.057503,56.945000
159,0.453732,0.958718,1.699406,-3.057503,56.952695
160,0.387723,0.958715,1.699498,-3.057503,72.982198
161,0.314145,0.958714,1.699516,-3.057503,102.354013
162,7.389044,0.999948,0.105161,-4.284164,5.655154
163,5.986297,0.999948,0.105162,-4.284164,5.667974
164,4.849845,0.999948,0.105130,-4.284164,5.728726
165,3.929149,0.999948,0.105127,-4.284164,5.795967
166,3.183243,0.999948,0.105132,-4.284164,5.941734
167,2.578923,0.999948,0.105162,-4.284164,6.162789
168,2.089089,0.999948,0.105129,-4.284164,6.639007
169,1.692665,0.999948,0.105130,-4.284164,6.928314
170,1.371335,0.999948,0.105130,-4.284164,7.608942
171,1.111003,0.999948,0.105162,-4.284164,8.968103
172,0.900088,0.999948,0.105162,-4.284164,11.411888
173,0.729214,0.999948,0.105163,-4.284164,15.622952
174,0.590784,0.999948,0.105130,-4.284164,22.443200
175,0.478677,0.999948,0.105129,-4.284164,32.695500
176,0.387759,0.999948,0.105162,-4.284164,46.509309
177,0.314145,0.999948,0.105132,-4.284164,65.871884
178,0.254508,0.999736,0.105170,-4.284164,101.205403
179,0.206192,0.999736,0.105170,-4.284164,147.190193
180,0.167048,0.999736,0.105170,-4.284164,213.595427
181,0.135335,0.999683,0.105171,-4.284164,310.578514
182,7.389044,0.998929,0.525343,-3.246919,5.726639
183,5.986281,0.998929,0.525327,-3.246919,5.748723
184,4.849844,0.998929,0.525327,-3.246919,5.838446
185,3.929150,0.998929,0.525327,-3.246919,5.928518
186,3.183244,0.998929,0.525328,-3.246919,6.061879
187,2.578924,0.998929,0.525346,-3.246919,6.367742
188,2.089280,0.998929,0.525345,-3.246919,6.797291
189,1.692667,0.998929,0.525330,-3.246919,7.143914
190,1.371341,0.998929,0.525347,-3.246919,7.996655
191,1.110996,0.998929,0.525248,-3.246919,9.642889
192,0.900093,0.998929,0.525248,-3.246919,12.611095
193,0.729214,0.998929,0.525343,-3.246919,17.675365
194,0.590778,0.998929,0.525342,-3.246919,25.654186
195,0.478633,0.998929,0.525345,-3.246919,36.739924
196,0.387760,0.998929,0.525347,-3.246919,82.114001
197,0.314146,0.996668,0.525347,-3.246919,76.017192
198,0.254509,0.996668,0.525347,-3.246919,111.090540
199,0.206192,0.994372,0.525347,-3.246919,161.547283
200,7.388993,0.995902,1.105279,-2.890896,5.897064
