,log(1+xi),log(rho_0),log(1+10^3*zeta),log(1+gamma),log(eig_FEA)
0,0.9421193087885464,1.3543325881901165,2.1094792766619266,0.0,1.875714648589405
1,0.8122820961903742,0.2036388697291364,0.5734314902319012,0.0,2.170689834923648
2,0.9421193087885464,-0.5992699064883527,2.1094792766619266,0.0,3.083579554437641
3,0.4921629698884136,-0.8263675325055789,0.4690031138664854,0.0,3.325269734291329
4,0.9133769765864388,1.0221614300931967,0.1169573991363553,0.0,1.9548501836495904
5,0.9184005875548108,1.174228137281567,0.7543903181180781,0.0,1.9243002136128813
6,0.7173539934935853,-1.3813778756505153,0.0706796226222897,0.0,4.49775718514725
7,0.8650431306851192,0.6299625151925545,0.2015881840728989,0.0,2.0233149532256363
8,0.3454059014984904,1.020330057257811,1.5214302523558292,0.0,1.410210205467835
9,0.4716706670050478,0.4206777966849273,3.5045111095184693,0.0,1.7256208394057098
10,0.8209764021014452,1.2293094414348236,0.7546337412034223,0.0,1.8567514257745483
11,0.5678127324176456,-0.7886448612228465,0.0632846702189525,0.0,3.3197482313919866
12,0.6740549034670243,0.7997850319626251,0.4452496941897644,0.0,1.8346489178306145
13,0.4477438596081613,-0.0513525889229445,0.2141819214347507,0.0,2.049722846730324
14,0.9621685775560744,0.4284928974338459,0.4616642494116135,0.0,2.1677505941415407
15,0.8716834040180577,0.4421273727395369,0.7203216343493557,0.0,2.075084605366634
16,0.3169487971477729,0.6609594146706713,0.6608851229594215,0.0,1.6140394447452835
17,0.90301321827476,0.8557770545457345,1.6969506592913284,0.0,1.9424875851862669
18,0.5678127324176456,0.5106381229074143,0.0632846702189525,0.0,1.8346302145212965
19,0.7034270385376825,1.8161889097241557,0.3873751663558432,0.0,1.7322875177393846
20,0.90301321827476,1.3198908897354067,1.6969506592913284,0.0,1.850626936220874
21,0.7420911368198756,0.9750588727500368,0.8361711097117906,0.0,1.834447384321345
22,0.6135959891250988,0.3350202964681955,2.944732285890248,0.0,1.8618770988761109
23,0.9250291819010612,1.297087477964463,0.113157033765755,0.0,1.927011937794602
24,0.4477438596081613,1.6209332271708197,0.2141819214347507,0.0,1.547775056340465
25,0.9515964190712072,1.4854227238513362,1.4364712610768329,0.0,1.893617468351528
26,0.6973393273850137,1.3227487857654812,3.0949088132477702,0.0,1.6967880942736178
27,0.9605092446728944,0.0445699442076768,0.9224337655436466,0.0,2.415150845426002
28,0.6125809555153758,1.4945375562667176,0.6108987595454615,0.0,1.6806386613738595
29,0.8581882821000137,1.0316205560978151,1.6750371312280683,0.0,1.8559958423409424
