,rho0,gamma,eig_CF,eig_FEA
0,0.2,10.0,276.8786481822843,
1,0.20806130054520086,10.0,255.98509859576328,
2,0.21644752392280206,10.0,236.67973910837097,
3,0.22517176663583333,10.0,218.84192833107582,
4,0.23424765306155973,10.0,202.36019575379117,
5,0.2436893567282456,10.0,187.13154515346974,
6,0.2535116224495109,10.0,173.06081095898085,
7,0.26372978935084584,10.0,160.06006355062317,
8,0.27435981482424426,10.0,148.04805977792248,
8,0.27435981482424426,10.0,148.04805977792248,
9,0.2854182994483637,10.0,136.94973526193556,
10,0.2969225129131307,10.0,126.69573530940167,
11,0.3088904209892758,10.0,117.22198150736989,
12,0.3213407135849167,10.0,108.46927128990122,
13,0.33429283393300335,10.0,100.38290797449561,
14,0.3477670089552076,10.0,92.91235895629717,
15,0.36178428084967507,10.0,86.01093992409251,
16,0.376366539951968,10.0,79.6355231247376,
17,0.3915365589205188,10.0,73.74626785291771,
18,0.40731802829997904,10.0,68.306371482045,
19,0.42373559351800283,10.0,63.281839480455986,
20,0.44081489337324126,10.0,58.64127297571311,
21,0.4585826000746531,10.0,54.35567253947655,
22,0.4770664608946602,10.0,50.39825696677583,
23,0.4962953415011961,10.0,46.74429591721096,113.97907092079419
24,0.5162992710363173,10.0,43.37095537224024,117.10073659759813
25,0.5371094890117767,10.0,40.257154942799346,
26,0.5587584940947926,10.0,37.38343613555014,
27,0.5812800948602024,10.0,34.73184075454086,
28,0.6047094625882572,10.0,32.285798678395366,
29,0.6290831861905114,10.0,30.030024311738543,
30,0.6544393293495826,10.0,27.950421063770648,
31,0.6808174899620162,10.0,26.033993257066722,
32,0.7082588619770815,10.0,24.268764916109195,
33,0.7368062997280774,10.0,22.64370492805342,
34,0.7665043848566044,10.0,21.148658108047933,
35,0.7973994959343214,10.0,19.774281738328195,
36,0.8295398808909125,10.0,18.511987184509845,
37,0.8629757323613713,10.0,17.353886224234838,28.899549311983566
38,0.8977592660702706,10.0,16.292741752771775,29.23693485598228
39,0.9339448023754275,10.0,15.32192255752481,29.462974143390927
40,0.9715888510983102,10.0,14.435361878831168,29.57367466035731
41,1.0107501997736597,10.0,13.62751949808948,29.522577792737476
42,1.051490005456146,10.0,12.893347116303039,29.25276212751486
43,1.0938718902274305,10.0,12.22825680668469,28.49457810691925
44,1.1379620405527817,10.0,11.628092344180185,18.922484948343627
45,1.183829310642412,10.0,11.089103232744545,18.64871743868712
46,1.231545329978944,10.0,10.607921268065457,18.390670249601783
47,1.2811846151789383,10.0,10.181539489271078,18.14166667858299
48,1.3328246863631632,10.0,9.807293388089237,17.883130102966465
49,1.3865461882173458,10.0,9.482844258031982,17.612646936141232
50,1.442433015932459,10.0,9.206164579552448,17.312349535484604
51,1.500572446221219,10.0,8.97552534984446,16.981954523296267
52,1.5610552736154018,10.0,8.789485278107165,16.626254210502868
53,1.6239759522568242,10.0,8.646881778754734,16.236246516700593
54,1.6894327434034293,10.0,8.546823706286728,15.830274006865901
55,1.7575278688808205,10.0,8.488685786418392,15.415909228703056
56,1.828367670718894,10.0,8.472104708670498,15.00829040832062
57,1.902062777222863,10.0,8.496976856000789,14.607396836168322
58,1.9787282757380278,10.0,8.563457657289291,14.22661842742204
59,2.0584838923780846,10.0,8.67196255863108,13.874431560345865
60,2.141454178997657,10.0,8.823169619506215,13.552578195576325
61,2.22776870770104,10.0,9.018023750050634,13.266808895922802
62,2.3175622731908994,10.0,9.257742615907134,13.017567438267195
63,2.4109751032729525,10.0,9.543824247556593,12.814158397469477
